Entity,Code,Year,"Crops - Beans, dry - 176 - Yield - 5419 - hg/ha"
Africa,,1961,0.5874
Africa,,1962,0.6014
Africa,,1963,0.6003000000000001
Africa,,1964,0.6132000000000001
Africa,,1965,0.6298
Africa,,1966,0.6448
Africa,,1967,0.6578
Africa,,1968,0.6322
Africa,,1969,0.6217
Africa,,1970,0.6278
Africa,,1971,0.6183000000000001
Africa,,1972,0.676
Africa,,1973,0.6145
Africa,,1974,0.6083000000000001
Africa,,1975,0.6683
Africa,,1976,0.6807000000000001
Africa,,1977,0.6773
Africa,,1978,0.6593
Africa,,1979,0.6363
Africa,,1980,0.6203000000000001
Africa,,1981,0.6518
Africa,,1982,0.6419
Africa,,1983,0.6552
Africa,,1984,0.6514
Africa,,1985,0.6874
Africa,,1986,0.6759000000000001
Africa,,1987,0.6955
Africa,,1988,0.6974
Africa,,1989,0.7010000000000001
Africa,,1990,0.7687
Africa,,1991,0.8126
Africa,,1992,0.785
Africa,,1993,0.7585000000000001
Africa,,1994,0.6813
Africa,,1995,0.7009000000000001
Africa,,1996,0.6442
Africa,,1997,0.6273000000000001
Africa,,1998,0.6768000000000001
Africa,,1999,0.6910000000000001
Africa,,2000,0.676
Africa,,2001,0.6861
Africa,,2002,0.6862
Africa,,2003,0.6301
Africa,,2004,0.5972000000000001
Africa,,2005,0.6103000000000001
Africa,,2006,0.6563
Africa,,2007,0.6842
Africa,,2008,0.7894
Africa,,2009,0.8160000000000001
Africa,,2010,0.7742
Africa,,2011,0.8072
Africa,,2012,0.7707
Africa,,2013,0.7863
Africa,,2014,0.8796
Africa,,2015,0.9054000000000001
Africa,,2016,0.8678
Africa,,2017,0.9035000000000001
Africa,,2018,0.8954000000000001
Albania,ALB,1961,0.7059000000000001
Albania,ALB,1962,0.7031000000000001
Albania,ALB,1963,0.7008
Albania,ALB,1964,0.6989000000000001
Albania,ALB,1965,0.6966
Albania,ALB,1966,0.7001000000000001
Albania,ALB,1967,0.7038
Albania,ALB,1968,0.6999000000000001
Albania,ALB,1969,0.6985
Albania,ALB,1970,0.7022
Albania,ALB,1971,0.7266
Albania,ALB,1972,0.7059000000000001
Albania,ALB,1973,0.7971
Albania,ALB,1974,0.8012
Albania,ALB,1975,0.8
Albania,ALB,1976,0.8011
Albania,ALB,1977,0.801
Albania,ALB,1978,0.8019000000000001
Albania,ALB,1979,0.8043
Albania,ALB,1980,0.8
Albania,ALB,1981,0.8696
Albania,ALB,1982,0.9524
Albania,ALB,1983,0.9500000000000001
Albania,ALB,1984,0.9474
Albania,ALB,1985,0.9412
Albania,ALB,1986,1.1667
Albania,ALB,1987,0.7826000000000001
Albania,ALB,1988,0.75
Albania,ALB,1989,1
Albania,ALB,1990,0.6364000000000001
Albania,ALB,1991,0.8133
Albania,ALB,1992,1.2286000000000001
Albania,ALB,1993,1.1676
Albania,ALB,1994,0.8966000000000001
Albania,ALB,1995,0.9011
Albania,ALB,1996,1.0665
Albania,ALB,1997,0.9486
Albania,ALB,1998,1.0848
Albania,ALB,1999,1.1404
Albania,ALB,2000,1.12
Albania,ALB,2001,1.1946
Albania,ALB,2002,1.4080000000000001
Albania,ALB,2003,1.0230000000000001
Albania,ALB,2004,1.3023
Albania,ALB,2005,1.4658
Albania,ALB,2006,1.6118000000000001
Albania,ALB,2007,1.4247
Albania,ALB,2008,1.5245
Albania,ALB,2009,1.6429
Albania,ALB,2010,1.7518
Albania,ALB,2011,1.7569000000000001
Albania,ALB,2012,1.8493000000000002
Albania,ALB,2013,1.9718
Albania,ALB,2014,2.0548
Albania,ALB,2015,1.8792
Albania,ALB,2016,1.812
Albania,ALB,2017,1.6256000000000002
Albania,ALB,2018,1.8352000000000002
Algeria,DZA,1961,0.7959
Algeria,DZA,1962,0.8333
Algeria,DZA,1963,0.7647
Algeria,DZA,1964,0.7402000000000001
Algeria,DZA,1965,0.6147
Algeria,DZA,1966,0.6151
Algeria,DZA,1967,0.5068
Algeria,DZA,1968,0.39690000000000003
Algeria,DZA,1969,0.3526
Algeria,DZA,1970,0.2331
Algeria,DZA,1971,0.3578
Algeria,DZA,1972,0.4791
Algeria,DZA,1973,0.3593
Algeria,DZA,1974,0.7545000000000001
Algeria,DZA,1975,0.9694
Algeria,DZA,1976,0.8598
Algeria,DZA,1977,0.7984
Algeria,DZA,1978,0.6641
Algeria,DZA,1979,0.35150000000000003
Algeria,DZA,1980,0.3584
Algeria,DZA,1981,0.39080000000000004
Algeria,DZA,1982,0.3624
Algeria,DZA,1983,0.27390000000000003
Algeria,DZA,1984,0.2803
Algeria,DZA,1985,0.3352
Algeria,DZA,1986,0.38130000000000003
Algeria,DZA,1987,0.2786
Algeria,DZA,1988,0.28700000000000003
Algeria,DZA,1989,0.4227
Algeria,DZA,1990,0.8673000000000001
Algeria,DZA,1991,0.5729000000000001
Algeria,DZA,1992,0.7733
Algeria,DZA,1993,0.598
Algeria,DZA,1994,0.34750000000000003
Algeria,DZA,1995,0.522
Algeria,DZA,1996,0.4675
Algeria,DZA,1997,0.46140000000000003
Algeria,DZA,1998,0.5832
Algeria,DZA,1999,0.5397000000000001
Algeria,DZA,2000,0.32730000000000004
Algeria,DZA,2001,0.622
Algeria,DZA,2002,0.7261000000000001
Algeria,DZA,2003,0.7026
Algeria,DZA,2004,0.7937000000000001
Algeria,DZA,2005,0.5522
