Entity,Code,Year,"Crops - Cocoa, beans - 661 - Yield - 5419 - hg/ha"
Africa,,1961,0.25370000000000004
Africa,,1962,0.2581
Africa,,1963,0.27190000000000003
Africa,,1964,0.34550000000000003
Africa,,1965,0.2538
Africa,,1966,0.3216
Africa,,1967,0.3154
Africa,,1968,0.2859
Africa,,1969,0.319
Africa,,1970,0.35050000000000003
Africa,,1971,0.3599
Africa,,1972,0.3289
Africa,,1973,0.3032
Africa,,1974,0.3255
Africa,,1975,0.3155
Africa,,1976,0.2768
Africa,,1977,0.2869
Africa,,1978,0.2746
Africa,,1979,0.3017
Africa,,1980,0.2989
Africa,,1981,0.3048
Africa,,1982,0.2742
Africa,,1983,0.2831
Africa,,1984,0.3331
Africa,,1985,0.32030000000000003
Africa,,1986,0.33740000000000003
Africa,,1987,0.3534
Africa,,1988,0.41450000000000004
Africa,,1989,0.437
Africa,,1990,0.42150000000000004
Africa,,1991,0.41490000000000005
Africa,,1992,0.45070000000000005
Africa,,1993,0.44670000000000004
Africa,,1994,0.45080000000000003
Africa,,1995,0.4509
Africa,,1996,0.48400000000000004
Africa,,1997,0.46090000000000003
Africa,,1998,0.48190000000000005
Africa,,1999,0.4404
Africa,,2000,0.4652
Africa,,2001,0.4539
Africa,,2002,0.4611
Africa,,2003,0.47500000000000003
Africa,,2004,0.4812
Africa,,2005,0.4606
Africa,,2006,0.4927
Africa,,2007,0.42310000000000003
Africa,,2008,0.4428
Africa,,2009,0.4465
Africa,,2010,0.44980000000000003
Africa,,2011,0.46440000000000003
Africa,,2012,0.4753
Africa,,2013,0.46290000000000003
Africa,,2014,0.4712
Africa,,2015,0.4726
Africa,,2016,0.46190000000000003
Africa,,2017,0.4616
Africa,,2018,0.4577
American Samoa,ASM,1961,0.0794
American Samoa,ASM,1962,0.08750000000000001
American Samoa,ASM,1963,0.1
American Samoa,ASM,1964,0.02
American Samoa,ASM,1965,0.05
American Samoa,ASM,1966,0.1111
American Samoa,ASM,1967,0.25
American Samoa,ASM,1968,0.2857
American Samoa,ASM,1969,0.34290000000000004
American Samoa,ASM,1970,0.4
American Samoa,ASM,1971,0.3667
American Samoa,ASM,1972,0.3667
American Samoa,ASM,1973,0.33330000000000004
American Samoa,ASM,1974,0.33330000000000004
American Samoa,ASM,1975,0.3
American Samoa,ASM,1976,0.3
American Samoa,ASM,1977,0.2667
American Samoa,ASM,1978,0.2727
American Samoa,ASM,1979,0.2727
American Samoa,ASM,1980,0.375
American Samoa,ASM,1981,0.25
American Samoa,ASM,1982,0.25
American Samoa,ASM,1983,0.1333
American Samoa,ASM,1984,0.06670000000000001
American Samoa,ASM,1985,0.06670000000000001
American Samoa,ASM,1986,0.06670000000000001
American Samoa,ASM,1987,0.06670000000000001
American Samoa,ASM,1988,0.06670000000000001
American Samoa,ASM,1989,0.33330000000000004
American Samoa,ASM,1990,0.06670000000000001
American Samoa,ASM,1991,0.06670000000000001
American Samoa,ASM,1992,0.06670000000000001
American Samoa,ASM,1993,0.06670000000000001
American Samoa,ASM,1994,0.0614
American Samoa,ASM,1995,0.0614
American Samoa,ASM,1996,0.0614
American Samoa,ASM,1997,0.061500000000000006
American Samoa,ASM,1998,0.061500000000000006
American Samoa,ASM,1999,0.061500000000000006
American Samoa,ASM,2000,0.0616
American Samoa,ASM,2001,0.0616
American Samoa,ASM,2002,0.0616
American Samoa,ASM,2003,0.0616
American Samoa,ASM,2004,0.0616
American Samoa,ASM,2005,0.0616
American Samoa,ASM,2006,0.06670000000000001
American Samoa,ASM,2007,0.06670000000000001
American Samoa,ASM,2008,0.0608
American Samoa,ASM,2009,0.057600000000000005
American Samoa,ASM,2010,0.055600000000000004
American Samoa,ASM,2011,0.0555
American Samoa,ASM,2012,0.0553
American Samoa,ASM,2013,0.055200000000000006
American Samoa,ASM,2014,0.0558
American Samoa,ASM,2015,0.0557
American Samoa,ASM,2016,0.0551
American Samoa,ASM,2017,0.0546
American Samoa,ASM,2018,0.054200000000000005
Americas,,1961,0.3155
Americas,,1962,0.3078
Americas,,1963,0.3124
Americas,,1964,0.3206
Americas,,1965,0.3023
Americas,,1966,0.3478
Americas,,1967,0.3658
Americas,,1968,0.35550000000000004
Americas,,1969,0.3674
Americas,,1970,0.35810000000000003
Americas,,1971,0.39540000000000003
Americas,,1972,0.4147
Americas,,1973,0.386
Americas,,1974,0.4194
Americas,,1975,0.4716
Americas,,1976,0.4249
Americas,,1977,0.44160000000000005
Americas,,1978,0.46040000000000003
Americas,,1979,0.5063
Americas,,1980,0.48750000000000004
Americas,,1981,0.4811
Americas,,1982,0.49000000000000005
Americas,,1983,0.4526
Americas,,1984,0.4459
Americas,,1985,0.542
Americas,,1986,0.5098
Americas,,1987,0.3935
Americas,,1988,0.45130000000000003
Americas,,1989,0.4697
Americas,,1990,0.37260000000000004
Americas,,1991,0.42260000000000003
Americas,,1992,0.40590000000000004
Americas,,1993,0.41590000000000005
Americas,,1994,0.4126
Americas,,1995,0.3754
Americas,,1996,0.37110000000000004
Americas,,1997,0.3705
Americas,,1998,0.3543
Americas,,1999,0.3332
Americas,,2000,0.26880000000000004
Americas,,2001,0.2953
Americas,,2002,0.3053
Americas,,2003,0.33290000000000003
Americas,,2004,0.3426
Americas,,2005,0.3316
Americas,,2006,0.3406
Americas,,2007,0.3357
Americas,,2008,0.3442
Americas,,2009,0.3785
Americas,,2010,0.395
Americas,,2011,0.4456
Americas,,2012,0.40230000000000005
Americas,,2013,0.39630000000000004
Americas,,2014,0.43
Americas,,2015,0.4425
Americas,,2016,0.4068
Americas,,2017,0.4707
Americas,,2018,0.4843
Angola,AGO,1961,0.25
Angola,AGO,1962,0.25
Angola,AGO,1963,0.21430000000000002
Angola,AGO,1964,0.21430000000000002
Angola,AGO,1965,0.2857
Angola,AGO,1966,0.21430000000000002
Angola,AGO,1967,0.2857
Angola,AGO,1968,0.25
Angola,AGO,1969,0.15
Angola,AGO,1970,0.11130000000000001
Angola,AGO,1971,0.2457
Angola,AGO,1972,0.2857
Angola,AGO,1973,0.2333
Angola,AGO,1974,0.2381
