Entity,Code,Year,"Crops - Coffee, green - 656 - Yield - 5419 - hg/ha"
Africa,,1961,0.4031
Africa,,1962,0.3396
Africa,,1963,0.3663
Africa,,1964,0.4156
Africa,,1965,0.37270000000000003
Africa,,1966,0.39880000000000004
Africa,,1967,0.3526
Africa,,1968,0.3962
Africa,,1969,0.41240000000000004
Africa,,1970,0.4237
Africa,,1971,0.40240000000000004
Africa,,1972,0.41490000000000005
Africa,,1973,0.42560000000000003
Africa,,1974,0.388
Africa,,1975,0.4169
Africa,,1976,0.3824
Africa,,1977,0.394
Africa,,1978,0.33840000000000003
Africa,,1979,0.34890000000000004
Africa,,1980,0.36160000000000003
Africa,,1981,0.3956
Africa,,1982,0.3619
Africa,,1983,0.3437
Africa,,1984,0.3291
Africa,,1985,0.37420000000000003
Africa,,1986,0.40650000000000003
Africa,,1987,0.4021
Africa,,1988,0.3885
Africa,,1989,0.4112
Africa,,1990,0.3866
Africa,,1991,0.4025
Africa,,1992,0.42750000000000005
Africa,,1993,0.3699
Africa,,1994,0.44070000000000004
Africa,,1995,0.4132
Africa,,1996,0.46380000000000005
Africa,,1997,0.4455
Africa,,1998,0.43670000000000003
Africa,,1999,0.4854
Africa,,2000,0.49720000000000003
Africa,,2001,0.49670000000000003
Africa,,2002,0.5423
Africa,,2003,0.43170000000000003
Africa,,2004,0.4267
Africa,,2005,0.4344
Africa,,2006,0.43970000000000004
Africa,,2007,0.41190000000000004
Africa,,2008,0.4419
Africa,,2009,0.42460000000000003
Africa,,2010,0.4621
Africa,,2011,0.5479
Africa,,2012,0.4096
Africa,,2013,0.4348
Africa,,2014,0.4254
Africa,,2015,0.4038
Africa,,2016,0.4183
Africa,,2017,0.49210000000000004
Africa,,2018,0.44370000000000004
Americas,,1961,0.4787
Americas,,1962,0.4752
Americas,,1963,0.4053
Americas,,1964,0.3563
Americas,,1965,0.5654
Americas,,1966,0.4258
Americas,,1967,0.5044000000000001
Americas,,1968,0.44020000000000004
Americas,,1969,0.4922
Americas,,1970,0.41800000000000004
Americas,,1971,0.5621
Americas,,1972,0.5575
Americas,,1973,0.4801
Americas,,1974,0.6094
Americas,,1975,0.5464
Americas,,1976,0.4556
Americas,,1977,0.5229
Americas,,1978,0.5645
Americas,,1979,0.5673
Americas,,1980,0.5043
Americas,,1981,0.6666000000000001
Americas,,1982,0.5507000000000001
Americas,,1983,0.6411
Americas,,1984,0.5944
Americas,,1985,0.641
Americas,,1986,0.5193
Americas,,1987,0.6639
Americas,,1988,0.5448000000000001
Americas,,1989,0.5464
Americas,,1990,0.5989
Americas,,1991,0.6145
Americas,,1992,0.6327
Americas,,1993,0.5943
Americas,,1994,0.5965
Americas,,1995,0.5997
Americas,,1996,0.6712
Americas,,1997,0.6403
Americas,,1998,0.7085
Americas,,1999,0.6706000000000001
Americas,,2000,0.7442000000000001
Americas,,2001,0.7174
Americas,,2002,0.8348
Americas,,2003,0.7169
Americas,,2004,0.796
Americas,,2005,0.7387
Americas,,2006,0.8386
Americas,,2007,0.7969
Americas,,2008,0.9039
Americas,,2009,0.7929
Americas,,2010,0.884
Americas,,2011,0.875
Americas,,2012,0.9680000000000001
Americas,,2013,0.9399000000000001
Americas,,2014,0.9388000000000001
Americas,,2015,0.9383
Americas,,2016,1.0253
Americas,,2017,0.9828
Americas,,2018,1.1539000000000001
Angola,AGO,1961,0.4817
Angola,AGO,1962,0.37
Angola,AGO,1963,0.3366
Angola,AGO,1964,0.39640000000000003
Angola,AGO,1965,0.41000000000000003
Angola,AGO,1966,0.4514
Angola,AGO,1967,0.47040000000000004
Angola,AGO,1968,0.396
Angola,AGO,1969,0.43
Angola,AGO,1970,0.40800000000000003
Angola,AGO,1971,0.456
Angola,AGO,1972,0.45
Angola,AGO,1973,0.42000000000000004
Angola,AGO,1974,0.4495
Angola,AGO,1975,0.5143
Angola,AGO,1976,0.2874
Angola,AGO,1977,0.2853
Angola,AGO,1978,0.1716
Angola,AGO,1979,0.0867
Angola,AGO,1980,0.21630000000000002
Angola,AGO,1981,0.1376
Angola,AGO,1982,0.09670000000000001
Angola,AGO,1983,0.0722
Angola,AGO,1984,0.0833
Angola,AGO,1985,0.06670000000000001
Angola,AGO,1986,0.1287
Angola,AGO,1987,0.0916
Angola,AGO,1988,0.12940000000000002
Angola,AGO,1989,0.1333
Angola,AGO,1990,0.0833
Angola,AGO,1991,0.09090000000000001
Angola,AGO,1992,0.1
Angola,AGO,1993,0.1027
Angola,AGO,1994,0.054
Angola,AGO,1995,0.0825
Angola,AGO,1996,0.0806
Angola,AGO,1997,0.1038
Angola,AGO,1998,0.1457
Angola,AGO,1999,0.11
Angola,AGO,2000,0.14200000000000002
Angola,AGO,2001,0.10310000000000001
Angola,AGO,2002,0.1145
Angola,AGO,2003,0.10200000000000001
Angola,AGO,2004,0.1165
Angola,AGO,2005,0.21880000000000002
Angola,AGO,2006,0.33330000000000004
Angola,AGO,2007,0.5263
Angola,AGO,2008,0.2
Angola,AGO,2009,0.2652
Angola,AGO,2010,0.3425
Angola,AGO,2011,0.30710000000000004
Angola,AGO,2012,0.307
Angola,AGO,2013,0.3083
Angola,AGO,2014,0.28750000000000003
Angola,AGO,2015,0.2874
Angola,AGO,2016,0.30510000000000004
Angola,AGO,2017,0.314
Angola,AGO,2018,0.3037
Asia,,1961,0.5364
Asia,,1962,0.527
Asia,,1963,0.5435
Asia,,1964,0.5892000000000001
Asia,,1965,0.5781000000000001
Asia,,1966,0.5747
Asia,,1967,0.5945
Asia,,1968,0.5666
Asia,,1969,0.6405000000000001
Asia,,1970,0.5981000000000001
Asia,,1971,0.656
Asia,,1972,0.5865
Asia,,1973,0.6295000000000001
Asia,,1974,0.6256
Asia,,1975,0.6702
Asia,,1976,0.6239
Asia,,1977,0.6486000000000001
Asia,,1978,0.7102
Asia,,1979,0.6792
Asia,,1980,0.7143
Asia,,1981,0.6809000000000001
Asia,,1982,0.7029000000000001
Asia,,1983,0.6582
Asia,,1984,0.5940000000000001
Asia,,1985,0.6463
Asia,,1986,0.6127
Asia,,1987,0.6845
Asia,,1988,0.6093000000000001
Asia,,1989,0.6953
Asia,,1990,0.6302
Asia,,1991,0.6511
Asia,,1992,0.6806
Asia,,1993,0.6676000000000001
Asia,,1994,0.7402000000000001
Asia,,1995,0.7264
Asia,,1996,0.7695000000000001
Asia,,1997,0.8147000000000001
Asia,,1998,0.8264
Asia,,1999,0.8634000000000001
Asia,,2000,0.8016000000000001
Asia,,2001,0.8135
Asia,,2002,0.763
Asia,,2003,0.7852
Asia,,2004,0.8496
Asia,,2005,0.8281000000000001
Asia,,2006,0.8814000000000001
Asia,,2007,0.9945
Asia,,2008,0.9195000000000001
Asia,,2009,0.9336000000000001
Asia,,2010,0.9496
Asia,,2011,0.9816
Asia,,2012,1.0297
Asia,,2013,1.0455
Asia,,2014,1.0564
Asia,,2015,1.0687
Asia,,2016,1.0744
Asia,,2017,1.0862
Asia,,2018,1.1426
Belize,BLZ,1998,2.6571000000000002
Belize,BLZ,1999,1.75
Belize,BLZ,2000,4.125
Belize,BLZ,2001,3.2714000000000003
Belize,BLZ,2002,3.2429
Belize,BLZ,2003,3.2714000000000003
Belize,BLZ,2004,3.3000000000000003
Belize,BLZ,2005,2.7
Belize,BLZ,2006,2.375
Belize,BLZ,2007,1
Belize,BLZ,2008,2.25
Belize,BLZ,2009,2.0271
Belize,BLZ,2010,1.8008000000000002
Belize,BLZ,2011,1.6428
Belize,BLZ,2012,1.5013
Belize,BLZ,2013,1.3597000000000001
Belize,BLZ,2014,1.3154000000000001
Belize,BLZ,2015,1.2303
Belize,BLZ,2016,1.3018
Belize,BLZ,2017,1.2825
Belize,BLZ,2018,1.2716
Benin,BEN,1961,0.41800000000000004
Benin,BEN,1962,0.34600000000000003
Benin,BEN,1963,0.20040000000000002
Benin,BEN,1964,0.21300000000000002
Benin,BEN,1965,0.1782
Benin,BEN,1966,0.2082
Benin,BEN,1967,0.2172
Benin,BEN,1968,0.1022
Benin,BEN,1969,0.4536
Benin,BEN,1970,0.388
Benin,BEN,1971,0.44580000000000003
Benin,BEN,1972,0.454
Benin,BEN,1973,0.2682
Benin,BEN,1974,0.322
Benin,BEN,1975,0.3975
Benin,BEN,1976,0.39930000000000004
Benin,BEN,1977,0.4067
Benin,BEN,1978,0.37
Benin,BEN,1979,0.31
Benin,BEN,1980,0.321
Benin,BEN,1981,0.39
Benin,BEN,1982,0.32580000000000003
Benin,BEN,1983,0.33330000000000004
Benin,BEN,1984,0.6
Benin,BEN,1985,0.2333
Benin,BEN,1986,0.3667
Benin,BEN,1987,0.38
Benin,BEN,1988,0.54
Benin,BEN,1989,0.2667
Benin,BEN,1990,0.12000000000000001
Benin,BEN,1991,0.1681
Benin,BEN,1992,0.1768
Benin,BEN,1993,0.2
Benin,BEN,1994,0.2
Benin,BEN,1995,0.1888
Benin,BEN,1996,0.18730000000000002
Benin,BEN,1997,0.188
Benin,BEN,1998,0.1888
Benin,BEN,1999,0.18960000000000002
