Year,Miss Tmax,Miss Tmin,Miss Prcp,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp,Max Tmax,Min Tmax,Max Tmin,Min Tmin,Warm Days,Warm Nights,Cold Days,Cold Nights,Max 1-day P,Max 5-day P,Wet Days
1893,50,2,104,68.19,78.36,58.03,56.16,94,40,78,25,0,3.56,7.95,12.6,4.67,6.53,35.11
1894,2,0,1,67.95,78.89,57.01,52.22,100,36,79,14,1.64,0.55,8.77,12.88,3,6.49,19.03
1895,9,8,45,67.04,78.56,55.52,46.57,98,33,76,11,3.29,0.82,14.25,19.18,3.3,3.75,21.17
1896,0,0,142,68.39,79.72,57.07,48.24,98,37,76,20,5.21,0.82,12.6,16.44,5.19,6.77,34.88
1897,8,8,63,69.05,79.71,58.39,70.99,99,33,77,20,4.38,3.01,10.14,9.86,4.25,6.97,47.11
1898,13,11,15,67.68,78.35,57.01,68.85,97,37,76,22,0.82,0.55,12.6,15.07,4.04,6.19,34.31
1899,9,9,0,67.88,79.1,56.67,39.95,99,29,80,2,4.93,2.74,14.52,16.16,1.57,3.72,15.07
1900,5,5,21,68.27,78.81,57.73,66.35,98,41,76,20,1.1,1.92,10.41,13.42,4.93,6.93,33.76
1901,24,12,0,66.88,78.72,55.05,55.37,103,42,78,16,4.93,1.1,10.96,15.07,2.5,4.21,28.5
1902,3,20,24,67.68,78.54,56.82,43.23,99,41,78,24,3.84,1.37,13.7,13.97,2.46,3.95,22.71
1903,9,5,0,66.24,78.09,54.38,54.23,95,43,76,22,0,0.27,12.88,19.45,3.1,4.98,28.57
1904,2,2,0,68.31,80.68,55.93,48.68,98,40,78,18,6.58,0.27,9.32,16.44,3.3,4.14,25.11
1905,27,22,30,68.94,80.23,57.65,71.47,100,26,76,15,9.59,0.55,12.33,13.97,5.1,7.97,45.76
1906,31,10,0,67.66,79.67,55.65,45.18,99,32,75,23,10.68,0,12.88,16.16,2.75,4.15,20.5
1907,7,1,0,68.18,80.51,55.84,66.63,101,40,75,23,11.78,0,6.58,16.16,8.1,10.5,42.62
1908,11,1,0,66.67,80.93,52.41,69.08,99,45,71,22,8.22,0,7.95,20.55,6.6,14.36,41.83
1909,8,1,0,67.44,80.41,54.48,60.97,110,35,79,19,10.14,1.1,9.32,17.53,5,5.15,34.43
1910,34,34,31,67.96,77.17,58.75,31.68,97,36,78,20,1.64,2.47,14.25,9.04,2.5,3.15,14.26
1911,7,12,1,70.85,80.76,60.94,62.41,99,34,77,21,4.93,1.92,7.4,7.95,3.5,9.1,32.87
1912,2,2,23,67.22,77.2,57.25,79.05,99,35,78,18,6.03,0.82,16.99,14.79,8.78,8.88,50.51
1913,2,2,68,68.42,78.8,58.04,60.59,97,41,75,28,1.37,0,6.85,11.51,4.3,6.36,30.4
1914,0,0,0,67.78,78.32,57.24,56.08,103,40,77,23,6.85,0.27,15.89,16.99,6.33,10.32,30.42
1915,10,10,20,68.54,79.55,57.53,59.42,98,47,77,26,4.66,2.19,12.6,13.97,4.05,7,43.06
1916,14,42,0,69.28,80.23,58.33,49.57,97,41,76,24,1.64,0.27,8.49,10.41,4.98,7.63,25.3
1917,26,45,23,67.81,78.94,56.67,37.55,98,37,78,14,1.37,1.92,8.77,12.6,2.3,3.85,20.47
1918,10,37,0,68.54,80.44,56.64,50.47,100,33,77,11,8.22,0.55,8.77,12.33,2.76,5,20.99
1919,20,8,58,70,80.67,59.32,67.11,100,41,78,19,4.11,3.29,4.93,7.95,3.18,4.96,36.1
1920,15,0,0,68.47,79.11,57.84,56.6,99,44,77,25,3.84,1.1,12.88,12.33,2.43,3.87,25.22
1921,20,0,0,72.16,84.61,59.7,49.01,103,57,78,34,20,7.12,2.19,5.21,2.15,3.2,23.32
1922,46,13,0,70.64,80.75,60.54,68.24,101,48,76,30,2.74,0.82,7.67,4.66,2,4.33,35.43
1923,4,10,0,68.75,78.14,59.35,63.33,96,37,77,28,0.27,2.74,7.95,6.58,3.4,5.29,30.58
1924,3,14,0,68.83,79.67,57.98,37.78,102,36,77,15,12.6,3.84,15.34,12.33,3.42,3.92,21.86
1925,0,3,26,69.97,79.95,59.99,54.17,100,37,78,20,3.56,4.93,8.49,9.04,3.1,6.85,33.79
1926,17,9,0,68.61,77.99,59.23,88.05,99,37,77,29,1.1,1.64,11.78,7.12,7.5,9.85,52.22
1927,2,9,16,70.52,79.61,61.43,62.63,98,39,78,22,0.55,6.58,7.67,7.4,2.96,4.28,38.86
1928,2,6,24,67.54,76.47,58.62,61.32,98,33,78,18,0.82,5.21,14.52,10.41,8,10.84,38.07
1929,7,7,0,67.81,76.87,58.75,86.55,95,33,78,22,0,3.01,13.7,11.51,7.2,11.26,57.03
1930,35,5,1,67.89,76.63,59.15,55.9,100,36,78,17,1.92,5.75,13.97,10.14,3.6,5.84,32.14
1931,2,7,3,68.7,78.2,59.21,55.03,100,41,78,29,2.19,5.21,11.51,5.21,3.47,4.23,29.59
1932,11,7,2,68.46,77.44,59.48,70.15,99,29,79,23,1.64,6.85,13.15,8.22,3,6.09,43.02
1933,1,14,2,69.94,80.11,59.77,55.9,101,39,78,17,2.19,2.47,6.03,6.03,2.4,3.14,29.38
1934,2,6,1,68.05,78.55,57.55,70.89,97,40,78,19,1.1,2.74,10.68,11.78,3.9,5.88,41.13
1935,36,2,0,68.87,80.23,57.51,57.62,99,26,78,19,2.47,2.19,9.04,15.07,3.98,5.36,35.29
1936,2,3,3,67.46,78.59,56.33,45.41,98,38,78,20,3.29,1.92,13.42,16.16,2.44,3.97,22.83
1937,3,5,3,67.87,78.5,57.24,48.1,96,40,77,22,1.1,0.82,10.68,11.51,3.22,3.6,20.54
1938,8,11,3,68.7,79.59,57.81,38.2,99,42,77,23,1.92,0.27,10.96,13.97,2.3,3.4,14.34
1939,2,9,2,68.8,79.69,57.91,47.77,98,48,77,25,2.47,1.92,8.22,10.96,2.27,4.78,21.47
1940,9,7,0,65.97,76.03,55.9,66.89,96,28,77,15,0.27,1.92,15.07,14.52,3.7,6.9,43.72
1941,3,1,0,68.44,78.39,58.48,46.16,98,41,78,25,0.82,3.56,11.23,13.15,2.12,3.42,16.92
1942,6,4,2,67.84,78.78,56.9,70.61,97,40,78,19,1.64,1.37,10.14,16.44,6.36,7.49,40.95
1943,6,5,1,68.11,79.2,57.02,59.57,100,40,79,20,4.11,3.84,10.96,16.71,3.7,7.62,37.91
1944,1,4,0,68.47,78.79,58.15,56.35,97,40,77,23,2.74,2.74,10.14,10.68,3.45,4.84,34.63
1945,8,3,0,68.86,79.31,58.4,61.93,96,38,77,20,0.82,1.1,9.86,11.51,2.44,4.6,35.11
1946,2,3,1,69.02,79.31,58.72,69.25,97,39,77,23,1.64,1.64,8.22,9.59,3.14,8.31,47.79
1947,4,4,2,67.59,78.25,56.92,62.72,100,33,77,22,7.12,1.64,15.62,15.34,7.29,8.4,35.09
1948,3,2,0,67.92,77.95,57.88,56.96,96,32,77,15,1.37,2.19,12.33,14.79,5.04,6.05,32.17
1949,0,1,0,68.65,77.98,59.32,52.31,96,31,77,20,0.55,1.37,8.22,7.67,3.31,4.52,25.07
1950,0,0,0,68.03,77.94,58.11,53.24,95,38,75,20,0,0,10.68,10.68,3.33,4.48,26.91
1951,0,1,0,68.53,79.18,57.89,39.69,102,27,78,13,7.4,3.84,10.96,13.97,3.32,4.68,18.29
1952,0,1,0,67.7,78.74,56.67,44.29,98,44,77,25,3.01,2.47,11.23,10.14,2.56,4.74,25.92
1953,0,0,0,68.56,79.19,57.94,65.98,100,41,77,25,3.01,2.74,9.59,12.6,4.83,6.33,37.74
1954,1,2,0,68.61,79.9,57.31,41.67,103,41,77,26,5.21,2.74,7.4,15.62,4.55,4.97,18.51
1955,0,0,0,68.45,79.04,57.86,50.49,97,44,75,23,1.92,0,13.7,14.52,3.75,7.63,30.6
1956,0,0,0,68.43,79.43,57.43,41.22,99,44,77,25,3.01,0.55,10.68,12.6,2.42,4.24,15.4
1957,0,1,0,69.09,79.03,59.15,55.35,99,39,78,19,2.74,3.56,9.59,10.14,3.6,3.66,27.38
1958,0,0,0,66.89,77.28,56.49,45.53,98,34,78,20,3.01,2.19,18.63,17.53,2.99,3.34,19.12
1959,0,0,0,67.67,78.12,57.22,61.54,96,42,77,22,1.64,0.55,13.15,15.34,3.51,5.92,27.85
1960,0,0,0,66.68,76.96,56.4,38.3,101,38,79,22,7.12,5.21,19.45,17.81,2.02,4.1,15.04
1961,0,0,0,65.65,76.01,55.28,73.92,93,30,78,21,0,0.27,13.15,15.07,4.51,8.89,44.21
1962,1,0,0,68.23,79.05,57.41,53,102,21,77,10,4.66,5.75,12.05,12.33,6.3,7.04,31.33
1963,0,0,0,67.82,79.33,56.3,41.91,100,30,80,12,4.66,3.29,13.97,20,2.06,3.58,20.02
1964,0,0,0,67.44,77.52,57.35,63.83,97,36,79,20,1.1,2.47,16.44,16.16,4.84,8.88,37.13
1965,0,0,1,67.8,78.34,57.25,45,94,43,78,20,0,1.1,12.6,16.99,3.99,3.99,21.67
1966,0,0,0,66.47,76.26,56.67,63.62,96,34,78,15,0.27,2.47,16.71,15.89,3.65,7.7,35.69
1967,0,0,0,67.26,78.31,56.22,57.88,96,40,77,23,0.27,1.92,13.15,15.34,11.99,12.64,32.78
1968,0,0,0,66.12,77.04,55.2,45.15,95,34,76,24,0,0.55,17.81,22.47,2.78,4.36,23.51
1969,0,0,0,67.37,77.73,57,53.06,100,40,80,21,5.21,6.85,15.89,14.25,4.53,7.46,32.39
1970,0,0,0,66.67,76.68,56.65,54.56,99,37,78,20,0.55,3.29,14.25,16.44,3.69,4.41,27.51
1971,0,0,0,68.26,78.54,57.98,59.06,97,36,78,23,0.27,1.64,11.23,12.88,3.05,6.01,35.86
1972,0,0,0,69.32,79.77,58.86,59.77,99,42,80,22,3.84,4.11,12.88,9.86,4.85,7.13,37.25
1973,0,0,0,68.72,78.7,58.75,79.03,97,33,79,23,1.1,7.12,10.96,12.33,6.31,7.43,52.33
1974,0,0,0,68.72,79.13,58.3,56.97,94,43,77,26,0,0.55,8.22,10.68,2.53,4.07,28.01
1975,0,0,0,67.67,77.78,57.57,66.1,94,39,77,20,0,1.64,12.33,14.79,3.92,6.82,41.89
1976,0,0,0,65.89,76.95,54.82,49.07,97,39,78,18,0.55,1.37,13.7,19.45,2.99,4.02,24.22
1977,0,0,0,67.44,77.33,57.56,77.7,98,37,78,16,2.74,3.56,14.79,15.34,5.38,6.62,51.14
1978,0,0,0,66.63,76.78,56.48,49.33,99,33,77,23,1.37,3.84,20,20.55,3.58,6.23,23.65
1979,0,0,0,65.44,75.45,55.42,65.91,98,32,77,17,0.55,2.47,17.81,19.45,5.24,8.8,40.65
1980,0,0,0,66.93,77.04,56.82,74.3,100,38,80,20,2.74,6.03,15.89,16.71,4.73,7.87,53.17
1981,0,0,0,67.41,77.76,57.06,43.21,98,40,79,18,0.82,7.4,13.97,13.97,2.9,3.93,21.91
1982,1,1,0,68.61,78.62,58.6,57.19,96,31,80,10,1.37,4.66,12.33,14.25,7.22,8.85,30.21
1983,0,0,0,65.26,75.05,55.47,77.63,95,25,78,11,0,3.56,17.81,15.62,5.11,10.09,51.44
1984,0,0,0,67.32,77.35,57.3,51.43,95,38,77,19,0,1.1,13.15,13.15,4.7,6.62,29.9
1985,0,0,0,67.39,76.99,57.79,60.38,95,27,77,9,0,2.47,15.07,17.26,2.82,5.32,37.16
1986,0,0,0,68.96,78.67,59.25,55.7,99,34,81,22,1.92,5.21,14.79,12.33,3.53,5.28,32.43
1987,0,0,0,67.56,77.93,57.19,62.03,96,40,78,26,0.27,4.11,14.52,13.42,7.94,9.52,33.67
1988,0,0,0,67.64,78.12,57.16,76.04,101,33,79,22,3.01,5.75,12.6,15.89,4.25,6.48,47.58
1989,0,0,0,67.94,78.05,57.82,88.32,98,25,79,8,2.19,6.3,14.52,15.62,6.16,10.33,58.49
1990,0,0,0,69.88,80.88,58.88,65.45,100,40,80,25,6.85,3.56,6.85,8.22,2.77,3.81,38.88
1991,0,0,0,68.96,78.93,58.99,77.74,98,47,78,26,2.47,2.74,13.42,12.33,4.38,6.38,47.52
1992,0,0,0,67.85,78.18,57.52,70.25,97,43,80,25,3.84,2.74,12.05,10.68,5.44,6.47,41.56
1993,0,0,0,66.57,76.73,56.41,61.07,96,40,78,25,0.55,3.29,16.16,15.07,9.01,9.06,37.85
1994,0,0,0,67.36,77.08,57.64,62.13,93,41,79,22,0,1.1,13.15,14.52,4.24,4.68,31.74
1995,0,0,0,68.2,78.82,57.58,74.85,100,42,79,23,4.66,4.11,13.15,15.34,6.39,7.92,53.4
