Year,Miss Tmax,Miss Tmin,Miss Prcp,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp,Max Tmax,Min Tmax,Max Tmin,Min Tmin,Warm Days,Warm Nights,Cold Days,Cold Nights,Max 1-day P,Max 5-day P,Wet Days
1871,365,365,1,NA,NA,NA,36.61,#NAME?,Inf,#NAME?,Inf,0,0,0,0,2.57,3.43,24.12
1872,163,163,0,53.14,61.61,44.67,29.07,98,5,78,-23,9.04,7.67,7.12,8.77,2.11,2.97,16.99
1873,0,0,0,46.56,55.36,37.76,36.41,93,7,72,-18,7.67,4.38,10.68,16.16,2.35,3.19,20.33
1874,0,0,0,50.46,57.41,43.51,28.73,99,10,77,-6,10.14,14.52,6.58,8.22,2,2.97,15.95
1875,0,0,0,45.3,52.86,37.73,38.06,89,1,73,-20,2.19,4.93,14.79,18.08,3.44,3.58,22.88
1876,0,0,0,49.35,56.4,42.3,36.48,93,2,78,-14,6.03,13.15,10.96,12.88,1.89,2.69,21.04
1877,0,0,0,50.92,58,43.83,41.01,91,7,74,-4,6.58,7.12,7.67,8.49,2.19,3.55,21.69
1878,0,0,0,51.97,58.34,45.59,41.95,97,6,80,-9,5.75,13.97,4.93,5.48,4.1,4.16,25.06
1879,0,0,0,50.25,57.5,43,30.71,93,0,79,-18,6.85,12.05,9.86,12.33,2.52,4.34,18.09
1880,0,0,0,51.2,58.53,43.86,37.32,95,-1,79,-15,6.85,13.97,6.58,7.95,1.65,2.66,17.48
1881,0,0,0,49.79,56.62,42.96,42.48,98,8,78,-13,9.32,14.25,10.41,11.78,3.18,3.71,25.74
1882,0,0,0,50.13,56.76,43.5,41.34,90,6,72,-7,3.01,7.4,6.3,6.85,1.65,2.93,24.85
1883,0,0,0,46.76,53.96,39.57,45.86,91,-4,74,-17,2.47,4.38,12.6,15.34,3.34,3.85,30.04
1884,0,0,0,48.22,55.46,40.97,34.78,91,-6,74,-18,3.29,6.58,11.23,13.97,3.2,3.62,19.56
1885,0,0,0,47.19,54.43,39.95,44.37,94,5,74,-14,3.29,7.67,12.33,15.07,5.63,6.72,29.55
1886,0,0,0,49.53,57.26,41.8,26.77,94,5,74,-14,4.66,10.41,11.23,13.7,1.67,2.83,10.34
1887,0,0,0,47.35,56.24,38.46,29.13,100,1,73,-15,8.49,7.67,12.6,15.34,1.39,2.39,11.02
1888,0,0,0,46.62,54.17,39.06,30.86,94,-4,74,-18,6.3,6.3,13.42,14.25,1.46,2.82,17.03
1889,0,0,0,48.97,55.45,42.48,34.95,90,-2,73,-11,4.38,7.12,8.49,7.12,2.84,4.5,22.57
1890,0,0,0,48.89,55.55,42.24,32.69,96,13,76,-5,6.58,7.12,8.22,7.67,2.06,3.2,16.3
1891,0,0,0,48.62,55.1,42.14,26.54,96,13,73,-8,5.48,8.22,9.04,7.95,1.26,3.09,13.59
1892,0,0,0,46.64,52.8,40.48,36.56,94,5,78,-10,4.66,8.22,15.34,14.79,3.04,5.32,17.46
1893,0,0,0,46.2,53.07,39.34,27.47,95,-4,74,-16,4.93,8.77,18.9,18.36,1.4,2.11,14.03
1894,0,0,0,49.74,56.62,42.87,27.45,96,3,77,-9,9.86,12.05,11.23,10.68,2.95,6.08,13.37
1895,0,0,0,47.26,54.39,40.14,32.32,95,-1,74,-15,10.68,10.41,17.26,17.26,2.66,5.65,20
1896,0,0,0,49.8,56.63,42.98,32.96,98,3,78,-9,9.04,10.68,11.78,9.04,2.42,3.85,18.66
1897,0,0,0,48.92,55.6,42.25,25.86,95,-10,79,-20,7.4,12.05,10.96,11.23,1.24,2.56,7.46
1898,0,0,0,49.31,55.85,42.78,33.77,94,9,76,-8,5.75,10.14,10.41,10.14,2.5,2.79,17.87
1899,0,0,0,49.18,56.03,42.33,27.23,98,-8,75,-21,7.67,13.15,15.07,14.25,1.88,3.46,13.05
1900,0,0,0,49.36,56.33,42.38,28.65,94,2,77,-9,9.86,11.78,10.96,11.78,1.48,2.33,12.38
1901,0,0,0,48.16,54.73,41.58,24.53,103,-2,77,-12,9.86,14.52,14.52,13.15,1.81,2.79,11.67
1902,0,0,0,48.76,55.28,42.24,37.57,91,2,75,-8,4.11,5.21,13.42,10.41,1.95,2.79,21.68
1903,0,0,0,47.74,54.4,41.08,28.09,92,-2,75,-13,4.38,6.58,15.07,13.7,1.23,2.51,13.82
1904,0,0,0,46.58,53.43,39.73,26.14,94,-2,75,-15,4.66,3.84,17.26,15.62,1.61,3.16,11.61
1905,0,0,0,48.53,55.51,41.55,35.36,95,-4,77,-18,6.58,7.67,13.7,13.15,2.78,3.86,21.2
1906,0,0,0,51.22,57.54,44.91,30.87,93,15,75,6,7.4,16.71,8.22,8.22,2.91,3.19,17.01
1907,1,0,0,49.3,55.95,42.66,35.1,92,5,73,-3,6.03,13.15,6.3,6.03,1.72,2.34,19.42
1908,0,0,0,51.74,58.73,44.76,34.83,96,13,78,-2,10.14,16.16,6.3,7.4,2.31,5.57,19.56
1909,0,0,0,49.78,56.26,43.31,43.22,93,3,77,-10,7.4,12.33,9.04,10.96,3.49,4.8,27.27
1910,0,0,0,50.77,57.54,44.01,26.86,97,7,79,-6,8.49,15.62,10.41,8.49,1.81,2.21,12.38
1911,0,0,0,52.11,58.72,45.5,33.83,102,13,82,0,11.23,14.79,5.48,6.3,1.48,3.17,15.71
1912,0,0,0,48.45,55.44,41.46,29.67,95,-5,78,-16,8.49,10.68,14.79,16.16,1.83,2.88,16.86
1913,0,0,0,51.72,58.84,44.6,27.11,99,12,81,-4,10.41,14.52,7.95,8.49,1.78,2.51,14.76
1914,0,0,0,51.26,58.02,44.51,28.61,99,4,78,-6,10.68,16.71,12.6,11.51,1.65,2.8,14.21
1915,0,0,0,50.14,56.33,43.96,33.34,90,10,74,-5,3.56,7.95,7.67,6.3,2.31,2.63,15.43
1916,0,0,0,50.29,57.36,43.22,34.05,102,7,85,-6,10.96,13.42,13.15,12.33,2.29,4.18,18.57
1917,0,0,0,46.87,53.71,40.03,24.66,98,0,79,-10,5.48,7.67,13.7,14.25,1.28,2.41,9.52
1918,1,0,0,50.37,57.14,43.59,33.25,102,0,82,-14,7.12,11.23,12.05,10.68,1.63,2.68,13.93
1919,0,0,0,51.19,57.69,44.69,33.49,98,6,78,-11,7.95,18.36,10.41,10.14,1.71,2.92,19.35
1920,0,0,0,49.96,56.59,43.33,30.21,98,2,75,-7,8.77,10.68,12.05,11.51,2.26,2.6,16.58
1921,0,0,0,54.55,61.15,47.94,36.1,97,20,80,8,12.33,21.64,4.66,3.29,2.07,2.97,18.29
1922,0,0,0,52.2,58.92,45.48,31.57,98,13,78,-3,9.32,17.26,8.77,10.14,2.53,3.53,21.59
1923,0,0,1,50.52,57.07,43.96,32.48,96,10,79,-8,7.12,13.97,6.03,7.12,3.7,4.97,16.28
1924,0,0,0,48.14,54.85,41.43,34.96,94,-5,72,-16,4.66,5.75,11.51,10.14,2.72,5.97,20.36
1925,31,30,30,52.61,59.75,45.46,27.12,98,15,77,-1,10.68,15.89,6.3,5.75,1.7,1.91,13.4
1926,1,0,0,48.06,55.08,41.04,35.46,96,11,73,-7,5.48,7.95,9.86,10.68,3.02,5.62,18.97
1927,0,0,0,50.62,57.7,43.55,39.55,95,7,76,-9,6.58,6.58,6.58,6.58,2.42,4.03,21.34
1928,0,0,0,49.7,56.76,42.64,33.92,94,5,74,-6,6.85,7.67,7.95,8.22,2.71,4.71,18.75
1929,0,0,0,48.64,55.8,41.48,36.81,93,7,74,-9,9.04,9.32,13.97,16.71,3.12,3.37,23.84
1930,0,0,0,51.03,58.36,43.7,23.34,101,1,75,-16,11.23,11.51,10.68,9.59,1.48,2.08,10.84
1931,0,0,0,53.98,60.57,47.39,39.29,99,21,80,6,13.42,15.62,2.19,1.92,2.8,4.04,26.21
1932,0,0,0,50.56,57.55,43.58,31.86,97,7,76,-4,9.86,9.86,8.49,8.22,1.94,3.07,17.96
1933,0,0,0,51.83,58.96,44.7,32,100,-6,78,-19,13.42,16.16,6.58,7.4,2.81,4.59,17.43
1934,0,0,0,51.38,59.15,43.62,22.78,105,3,78,-7,12.33,13.7,9.86,8.49,1.86,2.33,9.79
1935,0,0,0,49.54,56.27,42.81,37.73,95,10,77,-7,9.32,12.88,9.04,9.04,2.67,4.23,21.25
1936,0,0,0,49.48,57.07,41.88,29.58,102,-1,80,-17,13.42,13.15,11.51,12.05,2.62,5.63,15.32
1937,0,0,0,49.02,56.19,41.86,26.98,97,14,75,1,11.23,12.6,13.15,12.05,1.41,2.09,12.72
1938,0,0,0,52.3,59.57,45.02,34.81,95,9,79,0,9.04,9.86,7.4,6.3,1.63,3.78,21.06
1939,0,0,0,52.15,59.88,44.42,27.51,100,14,77,3,11.78,12.88,6.85,6.3,2.09,2.75,13.39
1940,0,0,0,48.76,55.63,41.89,26.74,101,-2,79,-14,8.77,10.41,12.6,9.86,1.91,2.7,10.98
1941,0,0,0,52.05,58.94,45.15,35.29,98,11,80,-5,11.78,12.33,7.4,6.58,1.43,3.56,19.22
1942,0,0,0,50.16,58.21,42.1,35.66,100,-4,78,-13,12.33,9.86,10.41,10.14,1.98,2.37,17.87
1943,0,1,0,49.05,58.33,39.76,32.6,97,8,75,-13,16.44,12.05,11.23,13.7,3.93,4.26,16.62
1944,0,1,0,50.75,59.74,41.76,26.86,100,12,77,-7,19.45,8.22,9.86,10.41,1.62,2.5,8.76
1945,0,0,0,49.04,58.04,40.04,37.46,99,7,72,-8,9.86,4.38,11.78,11.51,1.95,2.78,21.65
1946,0,0,0,51.94,61.88,42.01,31.38,100,15,77,-3,14.25,6.03,6.85,8.22,2.43,2.61,15.42
1947,0,0,0,49.55,58.45,40.64,39.21,101,7,76,-2,16.71,9.32,10.14,11.23,2.58,4.61,25.25
1948,0,0,0,49.81,58.85,40.78,31.56,98,4,73,-10,13.42,7.95,13.7,13.42,2.5,2.89,17.05
1949,0,0,0,51.74,61.16,42.32,33.74,102,7,77,-4,19.45,13.42,6.3,10.14,2.58,3.22,19.22
1950,0,0,0,48.42,57.56,39.28,39.75,93,7,74,-10,10.96,2.74,13.7,17.53,2.48,3.99,24.34
1951,0,0,0,48.56,57.55,39.56,43.15,92,2,72,-15,9.59,2.47,11.78,13.42,2.84,3.41,26.19
1952,0,0,0,51.56,60.71,42.4,28.29,101,12,77,-3,17.81,9.32,4.93,5.48,1.6,2.04,14.26
1953,0,0,0,53.2,62.47,43.93,30.15,104,13,78,0,20.27,10.96,6.85,6.85,2.42,3.09,17.36
1954,0,0,0,52.94,61.66,44.22,45.92,100,14,75,-7,17.26,12.88,4.93,4.93,3.95,6.77,31.51
1955,0,0,0,52.27,61.55,42.99,30.96,100,4,79,-10,19.45,15.62,9.04,12.6,2.03,3.8,15.17
1956,0,0,0,51.89,60.54,43.25,22.23,103,18,74,2,16.16,10.96,5.48,5.21,1.57,3.36,9.99
1957,0,0,0,50.89,58.93,42.84,44.29,96,3,77,-7,10.96,10.68,7.12,7.95,6.16,6.39,25.83
1958,0,0,0,49.84,58.08,41.6,26.35,94,3,72,-8,10.68,7.95,12.6,14.52,2.07,2.6,13.12
1959,0,0,0,51.25,59.67,42.82,38.68,96,1,78,-10,19.73,15.89,9.86,10.96,4.58,4.85,21.99
1960,0,1,0,50.38,58.53,42.22,27.84,100,4,75,-14,13.42,10.96,14.25,12.88,2.76,3.32,15.28
1961,0,0,0,50.91,59.24,42.57,42.9,95,9,74,-3,14.52,13.15,7.95,9.32,2.55,5.28,29.16
1962,0,0,0,50.27,58.64,41.91,22.22,96,0,72,-12,16.71,10.68,13.7,13.42,1.82,2.19,6.47
1963,0,0,0,50.23,59.67,40.79,28.02,99,-4,74,-18,16.99,10.14,16.44,16.71,2.19,4.15,16.11
1964,0,0,0,51.69,61.14,42.24,26.95,98,18,76,2,17.26,11.23,8.77,10.68,1.7,2.22,11.83
1965,0,0,0,50.35,58.71,41.99,42.05,94,3,78,-9,9.04,6.85,10.14,10.14,2.61,2.97,26.71
1966,0,0,0,50.2,58.79,41.61,36.76,98,-6,78,-16,14.25,10.68,12.88,10.96,4.71,5.39,23.62
1967,0,0,0,49.6,57.66,41.55,41.1,93,12,74,-10,6.85,6.3,9.86,10.96,2.94,4.53,28.05
1968,0,0,0,51.58,60.31,42.85,29.73,96,3,77,-11,12.05,10.41,8.49,10.96,3.79,4.4,15.78
1969,0,0,0,50.24,58.73,41.76,36.78,96,2,75,-10,13.15,12.05,9.59,8.77,3.04,4.39,23.06
1970,0,0,0,51.03,59.52,42.55,46.09,99,0,78,-12,15.62,12.05,10.14,13.97,2.43,3.34,29.53
1971,0,0,0,51.88,61.05,42.72,29.58,101,1,76,-9,16.99,12.05,7.4,9.59,2.18,2.93,18.31
1972,0,0,0,48.62,56.79,40.46,41.19,96,-5,80,-15,10.96,9.32,9.59,13.15,3.65,3.74,22.76
1973,0,0,0,52.53,60.74,44.32,37.99,97,15,77,-2,13.15,13.7,7.95,8.49,1.65,2.49,20.69
1974,0,0,0,50.2,58.75,41.64,37.53,99,7,76,-9,9.32,6.3,8.49,9.04,2.03,3.05,19.88
1975,0,0,0,51.52,59.89,43.14,42.05,94,5,78,-6,15.34,15.07,5.75,8.77,3.83,3.93,25.64
1976,0,0,0,49.33,58.83,39.83,33.98,100,2,78,-11,13.42,9.04,10.68,15.07,4.64,4.64,22.83
1977,0,0,0,50.8,59.65,41.96,41.29,99,-7,80,-19,16.71,13.42,14.52,16.44,2.92,5.59,27.89
1978,0,0,0,48.24,56.93,39.55,33.51,95,2,74,-8,12.6,10.14,17.26,17.81,3.03,4.38,15.27
1979,0,0,0,48.23,56.5,39.95,38.04,92,2,75,-19,8.77,9.59,13.97,14.79,2.6,3.56,22.32
1980,0,0,0,48.56,58.01,39.11,38.07,102,10,82,-8,13.97,9.86,12.88,14.79,1.96,3.52,19.35
1981,0,0,0,48.84,58.74,38.95,39.19,96,5,77,-11,9.04,4.11,10.14,15.62,3.45,3.47,22.98
1982,0,0,0,47.89,57.85,37.93,44.68,95,-4,78,-26,9.32,4.93,11.78,16.71,4.47,5.37,25.97
1983,0,0,0,49.01,58.35,39.67,49.35,100,-11,78,-25,18.63,11.23,11.78,11.23,2.81,4,35.16
1984,0,0,0,48.32,58.25,38.39,34,99,0,77,-22,11.78,3.84,11.23,11.78,1.68,2.58,18.41
1985,0,0,0,47.09,56.99,37.19,40.07,99,-4,73,-27,10.14,3.29,17.26,18.36,2.74,3,24.64
1986,0,0,0,49.72,58.96,40.47,31.73,95,5,75,-9,10.68,4.66,8.49,11.23,1.78,3.89,17.16
1987,0,0,0,52.05,61.69,42.4,41.35,99,8,77,-5,18.08,9.86,4.38,5.48,6.49,12.84,26.79
1988,0,0,0,49.76,60.21,39.32,33.36,104,-2,80,-14,18.63,9.59,12.05,14.52,3.61,3.74,19.37
1989,0,0,0,48.24,57.84,38.64,29.45,101,0,73,-14,10.14,5.48,13.7,16.16,3.47,4.35,14.72
1990,0,0,0,51.45,60.76,42.15,43.12,96,11,77,-6,10.68,7.4,3.29,5.48,3.14,5.43,27.8
1991,0,0,0,51.19,60.96,41.41,35.02,101,13,75,-3,18.08,9.59,9.59,13.15,2.57,3.16,18.71
1992,0,0,0,48.6,57.63,39.57,30.12,93,11,70,-12,6.03,2.74,5.75,7.12,1.64,3,14.59
1993,0,0,0,48.52,57.31,39.73,44.9,94,13,75,-5,9.59,8.77,9.32,10.68,2.9,3.5,29.35
1994,0,0,0,50.02,59.56,40.47,29.59,95,-11,78,-21,13.7,5.75,10.14,11.23,2.69,4.51,16.12
1995,0,0,0,50.11,59.08,41.14,32.88,104,5,83,-4,17.53,15.07,10.96,13.97,2.37,2.58,19.99
1996,0,0,0,47.3,56.26,38.34,30.72,94,-5,74,-19,8.77,3.84,12.05,15.07,2.1,3.25,15.99
1997,0,0,1,48.54,57.26,39.82,31.71,97,2,75,-9,9.32,5.21,9.59,9.86,3.44,4.08,16.12
1998,0,0,0,53.53,62.06,44.99,37.53,95,13,76,-1,13.97,9.32,4.66,6.03,2.69,3.73,23.34
1999,0,0,0,51.2,60.74,41.67,38.25,101,5,79,-16,13.7,10.14,6.85,7.95,1.96,3.4,26.96
2000,0,0,0,49.8,58.87,40.74,33.36,93,7,72,-9,8.49,6.03,11.51,13.15,2.37,4.21,20.7
2001,0,0,0,50.78,59.7,41.87,45.77,95,12,76,-2,13.42,7.95,9.86,9.32,4.31,4.87,29.3
2002,0,0,0,50.89,59.67,42.11,33.92,96,19,78,-7,15.34,11.51,5.75,7.95,4.45,4.79,22.2
2003,0,0,0,48.98,58.33,39.63,32.02,95,12,73,-7,8.77,4.93,11.23,14.25,2.24,4.34,20.21
2004,0,0,0,49.88,58.97,40.78,31.58,91,3,74,-9,6.85,3.29,11.51,11.78,1.49,3.32,19.8
2005,0,0,0,51.26,60.57,41.96,24.09,102,11,78,-1,18.9,12.33,10.96,10.96,1.35,1.65,10.85
2006,0,0,0,51.99,60.62,43.36,41.95,99,8,80,-7,10.68,10.14,3.01,4.38,2.05,3.45,25.66
2007,0,0,0,51.3,60.08,42.52,35.8,94,2,75,-10,15.34,10.68,12.05,9.86,2.35,4.96,17.63
2008,0,0,0,48.77,57.66,39.89,50.86,94,6,74,-6,9.04,6.58,12.05,15.07,6.64,8.45,36.13
2009,0,0,0,48.76,57.29,40.24,42.57,94,-1,77,-18,5.21,4.11,13.7,15.89,3.97,5.32,25.69
2010,0,0,0,51.56,60.19,42.93,37.61,94,11,78,-1,15.34,13.42,12.6,10.96,3.64,6.44,22.68
2011,0,0,0,50.8,59.07,42.53,49.83,99,8,80,-9,14.52,10.96,9.04,7.4,6.86,8.63,33.75
