"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Texas,769.4285588,765.481765,768.990297,783.8115049,794.1732682,799.7160476,843.6927089,849.4069991,850.1675594,838.2914016,869.749711,858.4179217,873.0746867,866.3749812,866.4479736,838.2594832,846.2618363,851.0866398,821.497562,774.2371578,807.6374868,826.7468694,824.5009003,873.0552601,871.6764092,867.4465104,840.2310934,856.336462,888.6756948,893.8430836,826.2884539,873.111539
California,439.3981185,426.1943495,438.9984376,423.3291598,438.1531032,426.6880289,428.107017,431.0409024,441.153078,444.682497,460.9972376,464.0865403,462.0487152,456.7256702,472.8875567,465.7906739,471.4057207,475.8476904,456.6303373,431.9488077,421.9222458,410.6203075,417.0648303,419.8473872,414.5606144,419.8793068,416.0355385,418.2080252,418.1905029,421.6013595,373.7676947,393.3536758
Florida,215.1914697,215.0133823,218.2732057,225.8601172,230.9023969,236.2941554,243.619286,246.7473656,259.0821681,262.0190759,271.2500639,268.3046382,273.8816648,281.3180023,289.3248473,295.4219118,294.8001659,294.2572441,271.908242,260.3942119,279.1969172,268.4278327,261.944999,260.5705274,266.8306986,270.6683093,276.9852933,277.5367528,282.910424,274.7102013,253.6780813,269.9661591
Pennsylvania,303.2518394,301.5467467,306.0732176,311.1933758,310.8398229,315.0609608,324.300896,325.3085292,321.6187776,319.3142766,330.2389108,314.7331343,319.8900761,324.0111428,329.0935932,329.1340303,324.9309283,322.8530328,318.0569398,298.5892972,306.0645824,296.5359001,286.1896169,299.8501803,297.937608,283.629116,270.7669957,275.1447224,280.9414513,277.2276804,251.8132928,267.7251644
Ohio,301.0309723,298.7111372,303.8777901,308.2944795,305.184804,311.3636503,321.9384496,316.1421356,316.2291522,315.5115944,321.4899284,309.2645824,313.7424,317.7367017,313.5761836,319.687441,310.6791016,314.6672814,310.3990658,280.7295519,287.2396324,273.9598784,252.7550645,265.3500946,264.8686078,249.1941317,240.6748942,242.2977958,249.3547669,232.3721004,222.791865,235.415359
Louisiana,229.5500118,226.2759295,236.4288277,237.5902549,243.0976414,243.8021,245.4344032,252.4437973,243.2093194,242.6836554,255.8131513,230.0414951,235.7613985,226.9586891,234.9629006,230.7493907,235.8885864,243.5456101,233.4276626,219.7008268,231.929489,235.5162092,228.8031244,221.0094622,217.7420324,216.3716935,217.5509761,220.1371464,227.6770322,232.2873552,215.7161303,224.5537785
Illinois,253.8883963,250.8730202,246.7886419,261.659817,264.6697407,269.9971457,284.1199892,286.9053435,272.7423869,281.7564212,287.8790493,278.7832598,284.6666418,284.9098523,289.6626656,294.5468493,288.9572471,292.8514604,293.9095853,276.1539772,280.474244,277.225676,266.2340937,280.4687032,282.2615054,269.3711202,251.1812281,248.7544325,255.5580463,243.0660304,209.6678531,223.380661
Indiana,237.77903,232.1366211,233.8408125,238.3198783,243.7235508,248.7517089,251.1816197,254.6318838,253.8062462,257.5659471,270.2951979,261.0590345,262.115048,266.2402247,272.5271974,270.5483544,269.177815,270.855959,269.559244,244.8761072,260.8819051,249.884713,235.6360328,238.7745497,245.0507487,226.5680699,218.0734136,211.5125957,224.5329088,209.9661095,183.167393,193.6309165
New York,236.3170081,227.2227373,227.0461437,219.6385379,218.6539368,224.3277347,226.4727248,229.4837932,230.2804878,232.3254259,239.4040908,235.9503797,232.5959691,241.7014682,245.7633232,242.2658082,225.8676174,232.5544669,219.3307467,203.522833,211.0772851,203.5688769,196.9091109,198.2595745,204.3152709,202.1120714,196.673734,192.581795,200.7943872,197.1494401,175.5275262,185.7409593
Michigan,220.0286209,219.6095771,220.1280682,221.3435451,226.4324521,229.2120167,233.9544791,230.5961384,228.7392801,233.972718,232.0824222,227.4349472,227.7150578,225.7739659,227.174675,227.8939815,215.6226588,217.4987141,209.7984856,196.5216373,206.1628071,200.6596665,192.5316484,200.3862404,200.0418157,200.5077551,191.3841596,189.213592,195.9714035,190.6340448,168.1070774,178.954465
Missouri,141.2713428,138.7268182,137.8548508,137.1295085,145.8724141,152.2532293,159.3215096,162.3878783,163.4855271,162.4128168,163.4236528,169.7355518,170.9269744,177.6424175,178.5481414,180.9357459,179.843135,178.2998009,174.4026878,168.2334118,176.0345033,173.3817442,165.959087,172.6522429,172.2960293,163.4755146,155.3940224,163.3382432,164.5129176,154.8210111,145.83591,154.5095604
Georgia,160.9091659,152.8514305,152.5446925,162.8713677,166.9989368,175.6257649,178.6016629,181.7683816,184.0267384,186.7377902,195.5892371,187.0816748,193.4715012,196.0940314,199.2082262,209.5450443,205.6874009,209.2747552,196.0211651,184.6174045,195.0615627,176.7637659,161.4639545,163.3761996,169.0559878,168.2394375,167.2504875,164.7008494,166.1886557,160.9962353,141.9615772,149.1583539
North Carolina,128.5227077,128.0240382,140.5007712,146.6890926,144.0048135,151.1860679,164.1500605,166.8794415,167.7280369,165.9071131,174.3526193,169.7740251,172.2323811,174.4026231,176.6465456,179.9550702,174.7438784,179.6671036,173.0816773,159.1667504,172.9486604,158.1702041,149.9889078,150.8697626,153.7186695,150.2159928,152.2944108,148.3783552,152.595096,151.9841,135.1498812,143.9527322
Kentucky,170.0511227,166.7839051,173.4765954,182.3815691,180.8297572,185.7734489,186.2307698,191.1522403,194.9240554,192.4113307,192.588352,190.4612484,190.9312766,183.8192141,191.84856,191.1231058,194.1891343,194.0469368,190.2823982,178.0682082,186.4894186,186.5402919,172.2160632,172.1678467,173.6372868,162.6851935,154.5887403,146.8286231,152.0524366,142.2673322,127.9323725,138.7098237
Alabama,143.1025063,146.2587988,151.8069926,154.9036617,156.213137,166.9724844,170.3648999,166.0502273,168.7695112,170.6326532,176.8898471,167.3846828,171.3511817,172.832156,172.7619132,172.883409,174.6265052,177.6926891,172.041291,151.6710344,163.0628609,158.4948937,150.5203884,148.9652843,151.361101,145.2908721,138.5168482,133.5151374,138.9754583,131.558759,125.2603439,135.325496
Oklahoma,143.683032,144.6829008,146.0094227,148.4090821,147.1801449,148.2433696,151.0759912,150.964435,149.1049305,146.6016276,149.1762605,150.6869582,150.9582921,152.7790059,151.9352082,157.1052909,158.5192561,160.6695539,163.2228009,156.355983,155.9580468,157.3437845,151.9479883,153.7346239,154.640642,151.7286542,147.0638303,146.491959,152.3386058,143.115895,131.0673874,133.4829924
Minnesota,110.5914332,110.0303507,110.0613645,116.1823911,117.3234803,121.0852079,125.3973301,124.284548,125.6110545,125.5483664,130.6101398,126.6913964,129.9995357,135.0200597,134.577982,134.6294615,130.8970531,133.5447085,133.0257665,124.2941196,139.9626318,138.6168677,134.5664854,139.3170239,147.2996268,133.7481387,135.1601706,135.3100301,142.0750628,137.2071083,122.0587619,126.8509595
Wisconsin,117.4696472,120.1296432,118.9704696,121.8770667,124.7249808,128.4421631,132.7987109,135.3339878,134.1761861,137.6591296,139.0658104,137.5173715,138.903367,137.8470646,139.4049255,142.8127416,135.7685415,138.2985658,137.0035621,127.6202714,129.579954,128.3080921,121.1608905,132.0024622,132.1478132,131.0785873,126.8019661,129.892723,132.8550856,125.0458229,116.8325676,122.508735
Colorado,100.4807033,102.0719692,105.2760628,107.3716471,109.1525566,109.123444,111.6043321,114.5276537,117.0517714,119.7002126,124.2187455,132.732974,131.4297118,130.982915,133.4620674,138.6303771,140.3373933,144.7655874,142.8823526,136.9285424,140.7733139,135.6682878,132.8766466,131.1270727,131.743678,129.195819,127.8953409,129.1304075,129.5056352,131.8534105,118.4071988,122.4961728
Virginia,135.9059232,135.1449126,136.4122836,136.2139303,133.6856544,133.6106068,139.1656316,140.5096583,141.5183721,143.155212,150.1117936,147.4092245,145.2696033,151.2502275,152.8649022,152.8470419,146.0994774,151.1564462,140.4481041,128.4586773,133.2529398,123.2393083,118.6406356,127.1442241,127.5951963,128.32373,130.7166374,125.5077282,130.2133779,125.028841,120.1176249,120.126862
West Virginia,144.9904922,137.3990543,140.3058796,133.0789305,139.9685681,138.2857603,145.0542751,147.650461,150.2979751,153.7418511,146.2553719,137.8956289,148.202158,143.4406344,141.561873,143.9631753,143.9632753,145.0418055,145.1892247,125.7527805,135.7500602,130.464758,123.730062,127.9037696,136.4449715,128.3343546,126.7861028,127.0912803,124.0731672,118.4305251,108.0191107,117.6945562
Iowa,105.689989,107.2817851,102.8346516,105.7932904,108.453277,111.6984766,114.0688843,112.5666648,118.2470375,121.1843925,120.056434,119.0140603,122.0895396,119.7035991,120.8666051,121.6466059,125.3040642,131.7743024,135.0964883,127.9189862,134.3852685,132.5587709,126.5009932,128.6452403,131.3397592,124.5885631,119.2285176,121.6057711,131.0530146,122.0503175,109.2847272,117.4045181
