Year,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp
1896,70.26,84.19,56.34,9.76
1897,68.82,82.88,54.75,11.03
1898,69.76,83.65,55.87,5.95
1899,69.71,83.72,55.7,5.19
1900,70.83,85.24,56.42,5.39
1901,70.67,85.26,56.08,4.87
1902,70.32,84.71,55.92,6.88
1903,69.8,84.28,55.32,6.61
1904,70.38,85.24,55.51,5.57
1905,69.6,82.55,56.65,19.73
1906,69.75,83.52,55.99,8.55
1907,69.71,83.24,56.18,8.17
1908,69.09,82.88,55.3,10.76
1909,68.87,82.57,55.17,6.17
1910,71.6,85.87,57.33,4.32
1911,69.02,82.62,55.42,14.04
1912,68.17,81.95,54.4,6.87
1913,68.11,81.43,54.78,5.39
1914,70.93,83.61,58.25,8.98
1915,68.73,82.05,55.41,9.41
1916,68.88,83.22,54.53,6.76
1917,68.94,84.61,53.26,9.6
1918,69.17,83.53,54.82,11.1
1919,69,83.26,54.75,10.31
1920,68.96,83.55,54.37,6.21
1921,70.78,85.64,55.91,3.85
1922,69.45,83.93,54.96,5.87
1923,69.22,83.08,55.37,9.63
1924,70.59,85.59,55.58,3.03
1925,71.38,86.05,56.71,4.16
1926,71,85.11,56.9,13.97
1927,70.76,84.91,56.62,5.73
1928,71.27,85.66,56.88,6.19
1929,70.85,85.23,56.47,5.04
1930,70.83,84.75,56.91,7.77
1931,72.03,85.32,58.74,10.32
1932,71,85.01,56.98,6.67
1933,71.25,85.38,57.12,7.1
1934,74.17,88.4,59.93,5.87
1935,70.99,84.33,57.65,10.33
1936,72.97,86.86,59.07,8.29
1937,71.28,85.31,57.24,5.37
1938,71.11,85.25,56.98,5.6
1939,71.53,85.55,57.52,9.46
1940,72.92,86.52,59.32,8.48
1941,69.86,83,56.72,17.67
1942,71,85.48,56.53,4.98
1943,72.25,86.13,58.36,9.88
1944,69.72,83.41,56.02,8.26
1945,70.22,84.09,56.35,4.29
1946,70.91,84.75,57.07,9.88
1947,71.58,85.37,57.78,3.22
1948,70.75,84.7,56.8,3.94
1949,70.77,84.29,57.25,6.24
1950,72.73,87.37,58.09,3.96
1951,71.07,84.6,57.55,12.82
1952,71.22,84.64,57.8,11.06
1953,71.01,85.41,56.61,2.83
1954,72.16,86.12,58.19,4.31
1955,69.59,83.34,55.84,9.82
1956,69.83,84.23,55.42,2.82
1957,70.7,83.11,58.3,7.6
1958,72.73,85.59,59.87,8.12
1959,72.06,84.72,59.41,8.4
1960,71.07,84.13,58.01,3.39
1961,70.25,85.16,55.35,4.43
1962,70.62,85.81,55.44,3.9
1963,70.97,85.61,56.33,7.24
1964,67.88,82.46,53.29,6
1965,68.7,83.37,54.02,11.19
1966,70.61,85.78,55.43,7.27
1967,70.13,84.68,55.58,8.34
1968,70.26,84.97,55.55,6.67
1969,71.4,85,57.81,6.94
1970,71.47,85.51,57.43,7.63
1971,70.56,84.42,56.7,3.59
1972,72.5,86.13,58.86,10.87
1973,72.04,86.02,58.06,6.01
1974,73.15,86.9,59.4,8.18
1975,71.09,85.01,57.16,4.51
1976,72.83,85.44,60.23,7.96
1977,74.86,87.57,62.16,3.16
1978,73.69,86.42,60.97,15.23
1979,72.45,86.05,58.85,6.8
1980,74.08,86.48,61.67,6.06
1981,76.11,88.09,64.12,6.72
1982,73.46,85.07,61.84,9.94
1983,74.1,85.4,62.79,12.81
1984,74.12,86.39,61.86,14.91
1985,74.26,85.96,62.57,7.92
1986,75.74,87.67,63.81,7.61
1987,75.06,86.99,63.13,8.4
1988,75.97,88.05,63.88,7.21
1989,76.98,89.81,64.15,4.94
1990,75.12,87.12,63.13,7.73
1991,75.1,86.66,63.55,8.35
1992,75.35,86.86,63.84,14.24
1993,74.74,86.21,63.26,13.34
1994,73.78,85.58,61.97,8.78
1995,74.28,86.2,62.37,9.51
1996,75.16,87.09,63.22,4.36
1997,74.78,86.17,63.39,4.67
1998,72.53,83.87,61.19,10.53
1999,74.3,86.47,62.13,6.61
2000,74.82,86.35,63.29,7.87
2001,75.91,87.38,64.45,6.72
2002,76.07,88.05,64.09,2.82
2003,76.43,87.87,64.98,6.82
2004,75.09,86.49,63.69,7.98
2005,75.64,86.91,64.37,7.04
2006,75.56,87.25,63.87,5.45
2007,76.44,87.98,64.9,5.05
2008,75.34,86.9,63.77,9.58
2009,76.1,87.92,64.27,3.26
2010,75.25,86.56,63.94,9.14
2011,75.34,87.24,63.45,4.66
2012,76.71,88.69,64.73,4.28
2013,76,87.72,64.28,8.42
2014,77.18,88.9,65.45,8.37
2015,76.75,88.07,65.42,7.15
2016,76.75,88.48,65.01,6.19
2017,77.32,89.23,65.41,4.96
2018,76.48,88.19,64.78,9.29
2019,75.03,86.36,63.71,5.93
2020,77.26,89.55,64.98,5
2021,76.39,88.22,64.57,7.11
