Year,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp
1888,51.78,64.09,39.48,33.96
1889,52.97,65.39,40.55,38.9
1890,54,66.57,41.44,27.29
1891,53.03,64.77,41.3,43.58
1892,53.12,63.48,42.76,41.37
1893,54,65.36,42.65,32.73
1894,56.18,67.81,44.55,24.61
1895,54.32,65.2,43.44,31.23
1896,56.19,66.97,45.4,36.56
1897,55.39,65.89,44.89,29.05
1898,54.22,63.99,44.44,39.22
1899,54.04,64.29,43.79,27.69
1900,55.7,65.93,45.47,30.76
1901,55.52,66.19,44.86,25.47
1902,53.62,63.32,43.92,32.61
1903,53.3,63.19,43.4,44.17
1904,53.27,63.63,42.91,33.84
1905,53.75,63.84,43.65,38.07
1906,54.61,64.64,44.58,24.49
1907,54.48,64.7,44.26,27.49
1908,55.65,66.01,45.28,43.11
1909,54.13,64.46,43.8,46.96
1910,55.09,65.49,44.69,32.01
1911,56.26,66.56,45.96,28.31
1912,53.09,63.24,42.94,31.91
1913,55.8,65.76,45.84,35.3
1914,55.39,65.22,45.56,30.03
1915,53.94,63.01,44.88,44.41
1916,54.16,64.59,43.72,28.35
1917,52.59,63.39,41.79,25.95
1918,55.65,66.42,44.88,35.82
1919,54.39,64.23,44.54,28.05
1920,54.11,63.9,44.32,35.07
1921,57.8,68.22,47.39,37.47
1922,56.01,66.51,45.5,38.16
1923,55.18,65.12,45.24,29.72
1924,52.94,63.31,42.57,29.79
1925,55.31,65.79,44.83,26.8
1926,54.69,64.46,44.93,32.16
1927,54.84,64.66,45.03,43.3
1928,55.75,65.93,45.57,32.2
1929,53.36,62.87,43.85,32.81
1930,56.08,66.17,45.98,33.89
1931,58.08,67.8,48.35,36.78
1932,54.75,64.93,44.56,27.52
1933,57.87,69.13,46.61,22.24
1934,58.48,70.12,46.85,27.3
1935,55.78,65.7,45.85,37.31
1936,56.66,68.36,44.95,22.63
1937,54.91,65.35,44.48,19.43
1938,58.66,69.99,47.33,29.01
1939,58.64,70.24,47.05,22.33
1940,54.53,64.75,44.31,28.47
1941,57.19,66.83,47.55,44.45
1942,55.84,65.58,46.09,40.57
1943,55.26,66.01,44.52,32.6
1944,56,65.57,46.44,44.1
1945,54.95,64.92,44.99,38.35
1946,58.48,69.25,47.72,31.2
1947,55.92,66.19,45.65,38.04
1948,53.84,65.75,41.94,30.72
1949,54.2,65.5,42.91,45.73
1950,52.95,64.73,41.17,38.91
1951,52.38,62.93,41.82,48.6
1952,55.26,67.25,43.28,21.33
1953,57.04,69.21,44.87,26.31
1954,57.77,69.96,45.58,30.03
1955,55.38,67.32,43.45,28.48
1956,55.92,68.48,43.35,25.35
1957,53.83,64.23,43.43,38.14
1958,53.41,63.94,42.88,38.73
1959,53.72,64.6,42.85,27.1
1960,52.62,63.48,41.77,25.64
1961,52.47,63.52,41.41,41.66
1962,53.81,64.77,42.85,32.26
1963,55.63,67.41,43.86,19.07
1964,55.05,66.49,43.61,35.98
1965,54.72,65.57,43.88,37.97
1966,53.94,66.28,41.61,19.3
1967,53.61,64.32,42.9,50.64
1968,53.03,63.64,42.43,40.58
1969,53.01,62.91,43.11,33.48
1970,54.16,65.35,42.98,31.62
1971,54.36,65.36,43.35,28.75
1972,53.02,63.72,42.32,31.21
1973,54.56,64.67,44.44,60.89
1974,54.26,65.75,42.78,31.22
1975,54.55,65.94,43.16,29.15
1976,53.66,66.65,40.67,20.75
1977,55.44,66.61,44.27,48.71
1978,52.05,63.38,40.72,31.26
1979,51.5,62.78,40.22,34.7
1980,54.8,66.61,43,32.11
1981,55.41,66.08,44.73,40.6
1982,52.72,63.19,42.24,38.26
1983,54.57,64.48,44.66,36.61
1984,54.38,65.1,43.65,38.03
1985,52.55,63.05,42.05,44.6
1986,56.15,66.88,45.42,37.38
1987,56.56,67.5,45.62,36.96
1988,55.03,67.93,42.13,19.39
1989,52.98,65.16,40.81,38.77
1990,55.89,67.48,44.29,34.43
1991,56.69,68.1,45.29,29.19
1992,54.72,65.44,44.01,35.93
1993,52.7,62.47,42.92,46.52
1994,54.9,66.01,43.78,29.51
1995,54.29,65.13,43.45,36.61
1996,52.73,63.35,42.1,37.52
1997,53.91,64.6,43.21,30.58
1998,57.04,67.14,46.94,42.16
1999,56.54,67.59,45.49,34.71
2000,56.05,67.36,44.74,27.34
2001,56.56,67.44,45.69,42.68
2002,56,67.58,44.42,27.83
2003,55.47,66.86,44.07,29.4
2004,55.02,65.55,44.49,40.06
2005,56.02,66.83,45.21,48.62
2006,57.76,69.58,45.95,32.72
2007,56.62,67.42,45.83,40.61
2008,53.83,64.73,42.93,38.21
2009,54.41,65.21,43.62,41.74
2010,56.2,66.88,45.53,36.49
2011,56.29,68.05,44.53,32.89
2012,59.83,72.59,47.06,23.06
2013,54.75,66.02,43.48,34.01
2014,54.82,66.18,43.45,31.15
2015,56.72,67.98,45.45,49.39
2016,58.15,69.32,46.98,43.23
2017,57.38,68.64,46.12,38.6
2018,56.06,67.49,44.63,30.03
2019,55.2,65.6,44.8,48.75
2020,56.45,67.51,45.4,35.5
2021,57.29,68.43,46.15,36.64
