Year,Avg Temp,Avg Tmax,Avg Tmin,ToT Prcp
1871,NA,NA,NA,36.99
1872,55.33,64.78,45.88,32.06
1873,55.24,64.58,45.89,45.71
1874,55.84,65.35,46.33,34.44
1875,52.46,61.06,43.86,41.11
1876,54.62,63.22,46.02,47.26
1877,55.85,64.74,46.97,52.59
1878,56.47,65.09,47.85,60.09
1879,55.5,64.6,46.41,32.83
1880,56.02,65.13,46.92,38.83
1881,56.49,65.38,47.61,42.2
1882,55.36,63.9,46.81,46.79
1883,54.48,63.57,45.38,45.7
1884,55.69,64.81,46.57,49.96
1885,53.56,62.28,44.84,44.84
1886,53.76,62.59,44.94,58.17
1887,55.02,63.76,46.28,35.08
1888,53.85,62.55,45.15,45.05
1889,55.48,63.88,47.08,61.33
1890,56.67,65.72,47.63,41.59
1891,55.73,64.99,46.47,52.95
1892,54.66,63.73,45.58,42.34
1893,53.81,62.87,44.76,36.71
1894,56.52,65.29,47.74,30.85
1895,54.36,63.39,45.33,34.25
1896,55.52,64.72,46.33,31.16
1897,55.02,64.27,45.77,44.58
1898,56.26,65.29,47.23,37.72
1899,54.57,64.25,44.89,44.02
1900,56.63,66.35,46.91,41.2
1901,54.23,63.42,45.03,41.75
1902,54.98,64.25,45.72,46.58
1903,54.46,63.68,45.24,43.55
1904,52.24,61.43,43.05,40.84
1905,54.27,63.54,45.01,50.64
1906,55.99,64.73,47.25,52.92
1907,53.64,62.91,44.37,44.65
1908,55.5,64.86,46.13,38.33
1909,55.27,64.82,45.73,33.55
1910,55.38,64.49,46.28,39.05
1911,56.55,65.98,47.11,40.45
1912,54.55,63.95,45.15,44.09
1913,57.48,67,47.96,40.05
1914,55.06,64.41,45.72,38.22
1915,55.64,64.77,46.52,39.72
1916,55.04,64.51,45.57,38.27
1917,53.16,62.26,44.05,38.24
1918,55.73,65.28,46.17,36.6
1919,56.51,65.49,47.53,43.18
1920,54.75,63.57,45.92,40.41
1921,58.05,67.47,48.62,36.18
1922,56.52,65.3,47.75,46.74
1923,56.24,65.52,46.97,35.6
1924,54.17,63.2,45.13,49.02
1925,56.12,65.52,46.73,32.88
1926,54.58,63.59,45.58,43.55
1927,56.33,65.35,47.32,35.33
1928,56.08,65.12,47.03,43.4
1929,56.62,66.12,47.12,39.42
1930,57.56,67.32,47.81,21.66
1931,58.36,67.35,49.37,33.51
1932,57.34,66.69,47.99,49.55
1933,57.24,66.08,48.41,49.11
1934,56.09,65.12,47.07,51.14
1935,55.94,64.54,47.34,43.53
1936,56.36,65.27,47.45,41.11
1937,56.51,65.17,47.85,54.29
1938,57.66,66.63,48.68,35.09
1939,57.91,66.77,49.05,40.54
1940,54.8,63.04,46.56,40.21
1941,57.79,67.02,48.56,29.17
1942,57.35,66.02,48.68,52.03
1943,56.98,66.34,47.62,34.11
1944,56.97,65.89,48.04,42.3
1945,57.31,66.09,48.54,46.79
1946,58.17,67.26,49.08,33.62
1947,56.66,65.24,48.07,36.15
1948,56.64,65.51,47.77,57.54
1949,59.12,67.75,50.5,39.86
1950,56.95,65.56,48.35,47.9
1951,57.64,66.59,48.68,41.34
1952,57.62,66.37,48.86,47.43
1953,58.98,68.18,49.77,51.17
1954,57.7,66.95,48.46,28.28
1955,57.16,65.74,48.59,41.44
1956,56.34,64.7,47.97,35.2
1957,58.06,66.63,49.49,32.78
1958,55.61,63.62,47.61,45.62
1959,58.97,67.91,50.04,35.38
1960,56.34,64.84,47.83,36.96
1961,56.75,65.29,48.21,41.94
1962,55.88,64.32,47.44,33.07
1963,55.85,65.66,46.05,39.34
1964,57.47,67.63,47.31,29.48
1965,56.89,66.65,47.13,26.94
1966,56.94,66.46,47.42,36.02
1967,56.47,66.3,46.64,38.15
1968,57.56,67.3,47.81,36.83
1969,57.29,66.43,48.15,43.3
1970,57.78,67.08,48.48,39.62
1971,57.97,66.76,49.17,46.02
1972,56.72,65.3,48.14,51.97
