Year,Date,Day,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1750,1,1,3.034,3.574,NULL,NULL,NULL,NULL,NULL,NULL
1750,2,1,3.083,3.702,NULL,NULL,NULL,NULL,NULL,NULL
1750,3,1,5.626,3.076,NULL,NULL,NULL,NULL,NULL,NULL
1750,4,1,8.49,2.451,NULL,NULL,NULL,NULL,NULL,NULL
1750,5,1,11.573,2.072,NULL,NULL,NULL,NULL,NULL,NULL
1750,6,1,12.937,1.724,NULL,NULL,NULL,NULL,NULL,NULL
1750,7,1,15.868,1.911,NULL,NULL,NULL,NULL,NULL,NULL
1750,8,1,14.75,2.231,NULL,NULL,NULL,NULL,NULL,NULL
1750,9,1,11.413,2.637,NULL,NULL,NULL,NULL,NULL,NULL
1750,10,1,6.367,2.668,NULL,NULL,NULL,NULL,NULL,NULL
1750,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1750,12,1,2.772,2.97,NULL,NULL,NULL,NULL,NULL,NULL
1751,1,1,2.495,3.469,NULL,NULL,NULL,NULL,NULL,NULL
1751,2,1,0.963,3.827,NULL,NULL,NULL,NULL,NULL,NULL
1751,3,1,5.8,3.051,NULL,NULL,NULL,NULL,NULL,NULL
1751,4,1,7.67,2.368,NULL,NULL,NULL,NULL,NULL,NULL
1751,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1751,6,1,13.827,1.801,NULL,NULL,NULL,NULL,NULL,NULL
1751,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1751,8,1,14.405,2.296,NULL,NULL,NULL,NULL,NULL,NULL
1751,9,1,10.673,2.656,NULL,NULL,NULL,NULL,NULL,NULL
1751,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1751,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1751,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,1,1,0.348,3.789,NULL,NULL,NULL,NULL,NULL,NULL
1752,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,3,1,5.806,3.192,NULL,NULL,NULL,NULL,NULL,NULL
1752,4,1,8.265,2.398,NULL,NULL,NULL,NULL,NULL,NULL
1752,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1752,10,1,7.839,2.754,NULL,NULL,NULL,NULL,NULL,NULL
1752,11,1,7.335,2.747,NULL,NULL,NULL,NULL,NULL,NULL
1752,12,1,5.086,2.982,NULL,NULL,NULL,NULL,NULL,NULL
1753,1,1,2.039,3.478,NULL,NULL,NULL,NULL,NULL,NULL
1753,2,1,0.715,6.341,NULL,NULL,NULL,NULL,NULL,NULL
1753,3,1,5.424,2.929,NULL,NULL,NULL,NULL,NULL,NULL
1753,4,1,8.272,3.177,NULL,NULL,NULL,NULL,NULL,NULL
1753,5,1,12.186,3.111,NULL,NULL,NULL,NULL,NULL,NULL
1753,6,1,14.585,2.59,NULL,NULL,NULL,NULL,NULL,NULL
1753,7,1,15.092,1.929,NULL,NULL,NULL,NULL,NULL,NULL
1753,8,1,14.148,2.453,NULL,NULL,NULL,NULL,NULL,NULL
1753,9,1,13.322,2.538,NULL,NULL,NULL,NULL,NULL,NULL
1753,10,1,8.962,2.585,NULL,NULL,NULL,NULL,NULL,NULL
1753,11,1,5.353,2.807,NULL,NULL,NULL,NULL,NULL,NULL
1753,12,1,0.559,4.174,NULL,NULL,NULL,NULL,NULL,NULL
1754,1,1,1.574,5.02,NULL,NULL,NULL,NULL,NULL,NULL
1754,2,1,-1.249,7.492,NULL,NULL,NULL,NULL,NULL,NULL
1754,3,1,3.677,3.336,NULL,NULL,NULL,NULL,NULL,NULL
1754,4,1,11.61,3.293,NULL,NULL,NULL,NULL,NULL,NULL
1754,5,1,11.936,3.937,NULL,NULL,NULL,NULL,NULL,NULL
1754,6,1,14.388,3.366,NULL,NULL,NULL,NULL,NULL,NULL
1754,7,1,14.681,2.401,NULL,NULL,NULL,NULL,NULL,NULL
1754,8,1,13.556,1.892,NULL,NULL,NULL,NULL,NULL,NULL
1754,9,1,11.129,2.318,NULL,NULL,NULL,NULL,NULL,NULL
1754,10,1,9.582,2.529,NULL,NULL,NULL,NULL,NULL,NULL
1754,11,1,6.161,3.048,NULL,NULL,NULL,NULL,NULL,NULL
1754,12,1,4.587,3.299,NULL,NULL,NULL,NULL,NULL,NULL
1755,1,1,1.067,4.693,NULL,NULL,NULL,NULL,NULL,NULL
1755,2,1,-0.108,5.857,NULL,NULL,NULL,NULL,NULL,NULL
1755,3,1,3.607,3.909,NULL,NULL,NULL,NULL,NULL,NULL
1755,4,1,9.263,3.372,NULL,NULL,NULL,NULL,NULL,NULL
1755,5,1,12.881,4.151,NULL,NULL,NULL,NULL,NULL,NULL
1755,6,1,15.38,5.322,NULL,NULL,NULL,NULL,NULL,NULL
1755,7,1,14.397,1.936,NULL,NULL,NULL,NULL,NULL,NULL
1755,8,1,13.515,2.381,NULL,NULL,NULL,NULL,NULL,NULL
1755,9,1,11.773,3.416,NULL,NULL,NULL,NULL,NULL,NULL
1755,10,1,9.97,3.931,NULL,NULL,NULL,NULL,NULL,NULL
1755,11,1,5.958,4.021,NULL,NULL,NULL,NULL,NULL,NULL
1755,12,1,2.564,3.215,NULL,NULL,NULL,NULL,NULL,NULL
1756,1,1,3.887,3.513,NULL,NULL,NULL,NULL,NULL,NULL
1756,2,1,5.666,4.265,NULL,NULL,NULL,NULL,NULL,NULL
1756,3,1,4.192,5.574,NULL,NULL,NULL,NULL,NULL,NULL
1756,4,1,10.042,3.752,NULL,NULL,NULL,NULL,NULL,NULL
1756,5,1,14.164,2.608,NULL,NULL,NULL,NULL,NULL,NULL
1756,6,1,14.547,3.213,NULL,NULL,NULL,NULL,NULL,NULL
1756,7,1,13.906,2.192,NULL,NULL,NULL,NULL,NULL,NULL
1756,8,1,13.437,2.175,NULL,NULL,NULL,NULL,NULL,NULL
1756,9,1,12.652,2.954,NULL,NULL,NULL,NULL,NULL,NULL
1756,10,1,7.312,2.201,NULL,NULL,NULL,NULL,NULL,NULL
1756,11,1,4.225,2.86,NULL,NULL,NULL,NULL,NULL,NULL
1756,12,1,2.165,3.841,NULL,NULL,NULL,NULL,NULL,NULL
1757,1,1,-0.276,4.022,NULL,NULL,NULL,NULL,NULL,NULL
1757,2,1,3.704,4.261,NULL,NULL,NULL,NULL,NULL,NULL
