Month,Day,Year,AverageTemperature,AverageTemperatureUncertainty,Country
1,1,2005,20.421,0.909,Argentina
12,1,2006,19.239,0.844,Argentina
2,1,2002,21.509,0.821,Argentina
6,1,2021,6.1,0.821,Argentina
4,1,2013,15.229,0.802,Argentina
1,1,2004,20.788,0.794,Argentina
11,1,2003,17.608,0.763,Argentina
3,1,2003,18.596,0.752,Argentina
2,1,2001,19.975,0.743,Argentina
11,1,2013,18.865,0.735,Argentina
4,1,2020,15.415,0.716,Argentina
12,1,2011,19.607,0.714,Argentina
12,1,2000,19.625,0.705,Argentina
7,1,2013,9.955,0.697,Argentina
1,1,2000,21.778,0.695,Argentina
6,1,2013,8.511,0.695,Argentina
1,1,2013,21.309,0.694,Argentina
2,1,2027,21.96,0.694,Argentina
9,1,2004,13.214,0.684,Argentina
2,1,2000,20.96,0.68,Argentina
12,1,2003,19.085,0.675,Argentina
6,1,2011,7.065,0.672,Argentina
1,1,2025,21.275,0.663,Argentina
1,1,2017,22.242,0.661,Argentina
3,1,2007,18.035,0.658,Argentina
2,1,2017,20.543,0.656,Argentina
1,1,2003,20.551,0.655,Argentina
10,1,2000,14.651,0.648,Argentina
1,1,2002,21.005,0.645,Argentina
1,1,2008,20.926,0.642,Argentina
6,1,2018,7.426,0.64,Argentina
2,1,2028,18.975,0.635,Argentina
4,1,2001,13.085,0.629,Argentina
12,1,2002,19.947,0.627,Argentina
8,1,2003,9.072,0.626,Argentina
4,1,2009,14.971,0.625,Argentina
2,1,2015,20.704,0.624,Argentina
6,1,2001,9.979,0.621,Argentina
11,1,2004,17.061,0.62,Argentina
11,1,2001,17.896,0.617,Argentina
2,1,2008,19.903,0.61,Argentina
2,1,2016,20.392,0.609,Argentina
2,1,2005,19.053,0.607,Argentina
6,1,2027,7.329,0.607,Argentina
10,1,2023,13.16,0.605,Argentina
2,1,2006,21.113,0.602,Argentina
3,1,2012,18.625,0.601,Argentina
8,1,2008,8.333,0.598,Argentina
1,1,2009,21.459,0.596,Argentina
11,1,2000,18.034,0.595,Argentina
3,1,2011,17.445,0.593,Argentina
1,1,2014,21.466,0.589,Argentina
12,1,2001,20.698,0.588,Argentina
11,1,2011,17.675,0.588,Argentina
4,1,2019,14.688,0.587,Argentina
1,1,2016,21.34,0.586,Argentina
1,1,2006,21.164,0.585,Argentina
3,1,2009,18.125,0.585,Argentina
1,1,2012,21.16,0.585,Argentina
6,1,2006,5.995,0.583,Argentina
11,1,2017,18.364,0.578,Argentina
6,1,2003,8.16,0.577,Argentina
12,1,2008,19.584,0.577,Argentina
6,1,2016,4.796,0.575,Argentina
6,1,2025,6.933,0.575,Argentina
7,1,2002,6.905,0.573,Argentina
8,1,2004,9.13,0.572,Argentina
3,1,2016,17.54,0.572,Argentina
7,1,2021,6.37,0.572,Argentina
4,1,2006,15.145,0.571,Argentina
1,1,2027,20.99,0.564,Argentina
7,1,2004,8.506,0.561,Argentina
4,1,2017,14.368,0.561,Argentina
8,1,2002,6.997,0.549,Argentina
2,1,2004,18.958,0.544,Argentina
5,1,2013,11.255,0.542,Argentina
10,1,2009,14.483,0.541,Argentina
11,1,2014,16.223,0.54,Argentina
7,1,2006,7.386,0.539,Argentina
7,1,2016,5.844,0.536,Argentina
6,1,2015,5.881,0.532,Argentina
12,1,2024,21.052,0.532,Argentina
4,1,2003,13.47,0.531,Argentina
5,1,2015,11.267,0.531,Argentina
1,1,2021,20.34,0.527,Argentina
11,1,2002,17.549,0.526,Argentina
12,1,2010,20.006,0.524,Argentina
2,1,2011,19.488,0.523,Argentina
10,1,2003,14.087,0.522,Argentina
8,1,2009,10.476,0.52,Argentina
11,1,2015,18.564,0.519,Argentina
1,1,2022,20.51,0.519,Argentina
3,1,2010,16.474,0.518,Argentina
7,1,2005,6.749,0.516,Argentina
11,1,2008,17.307,0.515,Argentina
4,1,2000,14.362,0.514,Argentina
2,1,2024,20.052,0.514,Argentina
7,1,2000,8.976,0.512,Argentina
3,1,2025,19.308,0.512,Argentina
3,1,2001,18.009,0.51,Argentina
4,1,2022,13.666,0.51,Argentina
7,1,2001,7.836,0.508,Argentina
12,1,2009,18.799,0.507,Argentina
9,1,2012,12.436,0.507,Argentina
10,1,2015,15.222,0.507,Argentina
7,1,2009,7.387,0.506,Argentina
12,1,2005,19.092,0.505,Argentina
3,1,2019,18.615,0.505,Argentina
12,1,2020,19.882,0.505,Argentina
7,1,2008,8.11,0.504,Argentina
2,1,2003,20.145,0.501,Argentina
3,1,2015,17.389,0.501,Argentina
7,1,2025,6.786,0.497,Argentina
5,1,2006,11.725,0.495,Argentina
5,1,2000,10.847,0.494,Argentina
12,1,2017,21.108,0.493,Argentina
9,1,2007,10.763,0.491,Argentina
12,1,2007,19.498,0.491,Argentina
2,1,2013,21.286,0.488,Argentina
5,1,2007,9.602,0.487,Argentina
12,1,2023,18.865,0.486,Argentina
9,1,2008,11.835,0.485,Argentina
7,1,2017,7.324,0.484,Argentina
1,1,2010,20.407,0.483,Argentina
3,1,2014,17.577,0.481,Argentina
5,1,2022,10.903,0.481,Argentina
1,1,2019,22.253,0.474,Argentina
7,1,2024,6.987,0.474,Argentina
2,1,2020,20.022,0.472,Argentina
3,1,2004,17.353,0.471,Argentina
9,1,2003,13.34,0.469,Argentina
10,1,2024,15.15,0.468,Argentina
11,1,2024,17.347,0.467,Argentina
6,1,2007,6.68,0.466,Argentina
3,1,2027,19.034,0.466,Argentina
4,1,2016,15.346,0.465,Argentina
6,1,2000,8.74,0.463,Argentina
2,1,2029,20.624,0.463,Argentina
8,1,2029,9.203,0.461,Argentina
5,1,2003,10.872,0.46,Argentina
7,1,2014,9.336,0.458,Argentina
3,1,2017,17.63,0.458,Argentina
5,1,2020,11.809,0.457,Argentina
5,1,2005,9.816,0.456,Argentina
6,1,2012,8.363,0.454,Argentina
1,1,2015,20.263,0.454,Argentina
8,1,2017,8.725,0.454,Argentina
10,1,2005,14.859,0.453,Argentina
10,1,2006,15.765,0.453,Argentina
3,1,2006,19.426,0.452,Argentina
10,1,2001,15.86,0.45,Argentina
11,1,2009,16.799,0.45,Argentina
3,1,2020,18.734,0.45,Argentina
5,1,2001,11.19,0.449,Argentina
3,1,2026,19.524,0.449,Argentina
6,1,2002,9.172,0.447,Argentina
7,1,2003,7.527,0.447,Argentina
5,1,2016,11.619,0.447,Argentina
1,1,2026,21.756,0.447,Argentina
8,1,2013,9.778,0.445,Argentina
3,1,2021,17.221,0.445,Argentina
9,1,2023,11.942,0.444,Argentina
8,1,1975,8.929,0.44,Argentina
12,1,2012,20.752,0.44,Argentina
11,1,2019,17.158,0.44,Argentina
8,1,1975,8.929,0.44,Argentina
1,1,2001,20.477,0.439,Argentina
2,1,2021,19.826,0.435,Argentina
10,1,2021,14.623,0.433,Argentina
11,1,2026,18.263,0.433,Argentina
6,1,2026,8.495,0.432,Argentina
7,1,2011,7.762,0.431,Argentina
2,1,2007,20.554,0.429,Argentina
4,1,2010,13.181,0.429,Argentina
8,1,2022,8.671,0.429,Argentina
10,1,2004,14.478,0.428,Argentina
11,1,2022,18.38,0.428,Argentina
2,1,2012,20.214,0.426,Argentina
5,1,2017,9.436,0.426,Argentina
12,1,2022,19.973,0.426,Argentina
6,1,2001,8.833,0.424,Argentina
6,1,2001,8.833,0.424,Argentina
2,1,2010,19.077,0.422,Argentina
3,1,2023,18.851,0.422,Argentina
4,1,2007,13.931,0.421,Argentina
11,1,2020,17.774,0.42,Argentina
1,1,2028,20.414,0.42,Argentina
6,1,1996,7.115,0.419,Argentina
6,1,1996,7.115,0.419,Argentina
1,1,2011,21.045,0.419,Argentina
3,1,2013,17.772,0.419,Argentina
2,1,2014,20.664,0.419,Argentina
9,1,2015,11.829,0.418,Argentina
9,1,2017,12.545,0.418,Argentina
4,1,2004,15.088,0.414,Argentina
6,1,2005,8.598,0.413,Argentina
9,1,2029,12.574,0.413,Argentina
4,1,2021,14.544,0.412,Argentina
7,1,2023,5.598,0.412,Argentina
5,1,2004,11.148,0.411,Argentina
12,1,2014,19.272,0.411,Argentina
2,1,2018,20.129,0.409,Argentina
4,1,2002,15.374,0.408,Argentina
9,1,2000,12.475,0.407,Argentina
5,1,2009,9.685,0.407,Argentina
12,1,2021,20.503,0.407,Argentina
1,1,2024,20.723,0.406,Argentina
8,1,2007,7.997,0.405,Argentina
2,1,2025,21.01,0.405,Argentina
3,1,2005,18.313,0.404,Argentina
5,1,2014,11.31,0.403,Argentina
1,1,2018,20.982,0.403,Argentina
8,1,2019,8.769,0.403,Argentina
12,1,2019,20.244,0.403,Argentina
5,1,1976,11.254,0.401,Argentina
12,1,2028,19.466,0.401,Argentina
5,1,1976,11.254,0.401,Argentina
1,1,2020,21.501,0.396,Argentina
1,1,2029,21.877,0.396,Argentina
9,1,2001,13.446,0.395,Argentina
4,1,1992,14.426,0.393,Argentina
4,1,1992,14.426,0.393,Argentina
9,1,2006,11.806,0.393,Argentina
12,1,2013,20.044,0.393,Argentina
3,1,2008,18.868,0.392,Argentina
6,1,2009,7.054,0.392,Argentina
12,1,2015,20.442,0.392,Argentina
9,1,2016,12.864,0.392,Argentina
5,1,2023,9.317,0.39,Argentina
4,1,2026,13.995,0.389,Argentina
7,1,2029,8.528,0.389,Argentina
6,1,2013,9.594,0.388,Argentina
11,1,2010,18.404,0.388,Argentina
5,1,2019,13.218,0.388,Argentina
6,1,2013,9.594,0.388,Argentina
3,1,2000,17.993,0.386,Argentina
5,1,2024,9.546,0.384,Argentina
6,1,2004,8.624,0.383,Argentina
6,1,2003,10.317,0.381,Argentina
6,1,2003,10.317,0.381,Argentina
4,1,2014,13.597,0.381,Argentina
12,1,1992,20.257,0.38,Argentina
12,1,1992,20.257,0.38,Argentina
4,1,2011,13.316,0.379,Argentina
6,1,2022,6.174,0.378,Argentina
7,1,2020,6.395,0.377,Argentina
1,1,2007,21.397,0.376,Argentina
12,1,2004,18.84,0.374,Argentina
9,1,2021,11.647,0.374,Argentina
1,1,1989,22.556,0.373,Argentina
5,1,2002,12.1,0.373,Argentina
1,1,1989,22.556,0.373,Argentina
11,1,2029,18.434,0.37,Argentina
10,1,2012,15.644,0.366,Argentina
4,1,2012,14.171,0.365,Argentina
7,1,2028,7.79,0.365,Argentina
8,1,2006,9.866,0.364,Argentina
8,1,2006,9.866,0.364,Argentina
9,1,2002,11.835,0.364,Argentina
6,1,2020,7.43,0.364,Argentina
5,1,2021,12.214,0.364,Argentina
9,1,2028,11.636,0.364,Argentina
4,1,2008,13.438,0.363,Argentina
6,1,2023,8.504,0.363,Argentina
10,1,2017,14.936,0.362,Argentina
1,1,2023,21.007,0.361,Argentina
5,1,2006,10.353,0.36,Argentina
5,1,2006,10.353,0.36,Argentina
11,1,2012,17.319,0.36,Argentina
6,1,2014,9.314,0.36,Argentina
4,1,2012,14.663,0.359,Argentina
9,1,2009,12.337,0.359,Argentina
10,1,2025,14.549,0.359,Argentina
4,1,2012,14.663,0.359,Argentina
9,1,2011,10.328,0.358,Argentina
10,1,2028,15.256,0.358,Argentina
4,1,2024,13.534,0.356,Argentina
7,1,2003,8.387,0.355,Argentina
7,1,2003,8.387,0.355,Argentina
7,1,2012,6.866,0.355,Argentina
11,1,2021,17.757,0.355,Argentina
8,1,1977,9.913,0.354,Argentina
8,1,1977,9.913,0.354,Argentina
10,1,2002,14.582,0.353,Argentina
11,1,2005,17.734,0.353,Argentina
8,1,2020,9.616,0.351,Argentina
7,1,2010,6.938,0.35,Argentina
10,1,1972,14.209,0.349,Argentina
9,1,2020,12.538,0.349,Argentina
10,1,1972,14.209,0.349,Argentina
8,1,2016,9.152,0.347,Argentina
6,1,2008,9.067,0.346,Argentina
10,1,2018,14.662,0.346,Argentina
8,1,2024,7.934,0.345,Argentina
9,1,2005,12.562,0.344,Argentina
3,1,2022,17.635,0.344,Argentina
12,1,2018,20.414,0.343,Argentina
4,1,2025,14.16,0.343,Argentina
8,1,2025,10.428,0.343,Argentina
6,1,2012,8.353,0.342,Argentina
6,1,2012,8.353,0.342,Argentina
1,1,1973,21.336,0.339,Argentina
10,1,2016,16.129,0.339,Argentina
2,1,2019,20.028,0.339,Argentina
1,1,1973,21.336,0.339,Argentina
11,1,2023,17.81,0.338,Argentina
4,1,1996,14.727,0.337,Argentina
4,1,1996,14.727,0.337,Argentina
8,1,2006,9.454,0.335,Argentina
2,1,2022,19.667,0.335,Argentina
7,1,1976,7.839,0.334,Argentina
1,1,1986,22.093,0.334,Argentina
7,1,1976,7.839,0.334,Argentina
1,1,1986,22.093,0.334,Argentina
9,1,1992,12.187,0.333,Argentina
1,1,2012,23.29,0.333,Argentina
9,1,1992,12.187,0.333,Argentina
4,1,2015,14.475,0.333,Argentina
11,1,2018,17.975,0.333,Argentina
7,1,2019,8.09,0.333,Argentina
1,1,2012,23.29,0.333,Argentina
7,1,1975,7.051,0.332,Argentina
9,1,2019,11.199,0.332,Argentina
