Month,Day,Year,beef_commercial,veal_commercial,pork_commercial,lamb_commercial,total_red_commercial,beef_federal,veal_federal,pork_federal,lamb_federal,total_red_federal,broilers_federal,chicken_federal,turkey_federal,total_poultry_federal,total_meat_federal
2,1,2024,2168.5,3.6,2371.2,10.9,4554.2,2135,3.4,2361.4,9.8,4509.6,3734.3,44.4,423.9,4213.3,8722.9
1,1,2024,2280.8,3.9,2472.7,10.6,4768,2246.1,3.8,2462.4,9.6,4721.9,4051.4,47.4,435.2,4547.6,9269.5
12,1,2023,2189.9,3.9,2342,10.7,4546.4,2159,3.7,2332.4,9.5,4504.7,3616.2,41.5,393,4063.1,8567.8
11,1,2023,2280.9,4.3,2388.2,11.2,4684.5,2247.3,4.1,2377.4,10.1,4638.9,3817.3,44.5,449.2,4324,8962.9
10,1,2023,2340.9,4.2,2418.5,11.3,4774.8,2300.8,4,2406.2,9.8,4720.8,4177.3,51,500.5,4742.1,9462.9
9,1,2023,2149.4,3.6,2186.2,10.2,4349.4,2114.6,3.5,2175.5,8.6,4302.2,3806.5,49.3,431.3,4299.6,8601.8
8,1,2023,2363.5,4.2,2295,10.5,4673.3,2329.5,4.1,2282.4,8.9,4624.9,4156.8,58.6,490,4717.8,9342.7
7,1,2023,2107.9,3.8,2006.8,9.5,4128.1,2077.2,3.6,1996.8,8.1,4085.8,3717.6,50.9,434,4214.5,8300.3
6,1,2023,2335,3.9,2201.6,10.9,4551.4,2300.7,3.8,2191.9,9.5,4505.9,3956.6,52.9,493.7,4516.2,9022.1
5,1,2023,2305.8,4.2,2271.3,11.4,4592.7,2269.3,4.1,2261.4,9.9,4544.6,4043.4,52.7,487.9,4596.6,9141.2
4,1,2023,2069.4,3.6,2119.4,11,4203.4,2034.8,3.5,2110.3,9.7,4158.2,3546.1,44,428.7,4030.2,8188.4
3,1,2023,2404.8,4.2,2488.2,12.7,4909.8,2367.3,4.1,2478.3,11.7,4861.3,3992.2,51.9,484.2,4540.3,9401.6
2,1,2023,2092.2,3.8,2157,10.1,4263.1,2059.4,3.7,2148.3,9.3,4220.7,3585,43.8,419.2,4059.2,8279.9
1,1,2023,2324.6,4.4,2425.4,10.2,4764.5,2287.4,4.3,2415.5,9.2,4716.4,3971.9,46.5,445.2,4476.1,9192.5
12,1,2022,2225.6,4.5,2230.1,11,4471.1,2193.7,4.4,2220.4,9.8,4428.4,3852.9,47.4,414.2,4327.1,8755.5
11,1,2022,2422,4.5,2350.4,11.1,4788.1,2387.6,4.4,2340.7,10,4742.7,3940.9,45.8,428.2,4426.6,9169.3
10,1,2022,2404.3,4.5,2338.3,10.5,4757.6,2363.1,4.4,2326.4,9,4702.9,4068.5,48.2,467.3,4596.4,9299.3
9,1,2022,2390.1,4.3,2259.4,10.8,4664.7,2350.6,4.2,2247.7,9.6,4612.1,4000.5,50.7,420.6,4483.6,9095.7
8,1,2022,2506,4.7,2303.8,11.7,4826.2,2466.9,4.5,2291.1,10.3,4772.8,4211,55.3,449.2,4727.4,9500.2
7,1,2022,2247.8,4.1,1970.6,10.4,4233,2214.4,4,1960.5,8.9,4187.8,3684.8,45.7,393.9,4134.4,8322.2
6,1,2022,2456,4.6,2255.6,11.5,4727.7,2415.1,4.5,2245.1,10.2,4674.8,3934.9,52.4,442.3,4440.9,9115.7
5,1,2022,2288.9,4.4,2181.6,10.8,4485.8,2250.1,4.3,2171.9,9.6,4436,3778.9,47.4,412.8,4249.4,8685.4
4,1,2022,2326.7,4.5,2201.3,12.3,4544.9,2289.5,4.4,2192,10.8,4496.7,3564.9,43.5,420.3,4040.7,8537.4
3,1,2022,2506.7,4.9,2456.1,12.4,4980.1,2464.6,4.8,2445.3,11.2,4925.9,3995,49.5,507.8,4565.1,9491
2,1,2022,2250.2,4.2,2168.1,9.2,4431.8,2214.1,4.1,2158.9,8.1,4385.3,3484.5,42.6,422.9,3960.9,8346.2
1,1,2022,2266.4,4.6,2280.3,9.9,4561.1,2228.9,4.5,2270.6,8.9,4512.8,3690.3,42.6,443,4187.6,8700.4
12,1,2021,2362.5,5.3,2404.1,11.7,4783.6,2326.8,5.1,2393.8,10.5,4736.2,3700.1,44.7,427.6,4183.9,8920.1
11,1,2021,2380.1,4.6,2408.7,12.1,4805.4,2342.8,4.5,2397.9,10.9,4756.1,3665.3,40.6,453.3,4170.1,8926.2
10,1,2021,2363.5,4.6,2372.1,11.4,4751.6,2324.9,4.4,2360,10.1,4699.5,3827.8,44.3,485.5,4369.5,9069
9,1,2021,2300,4.4,2266,10.7,4581.1,2259.7,4.3,2253.6,9.2,4526.9,3928.5,45.8,470.5,4455.8,8982.7
8,1,2021,2360.6,4.3,2214.5,10.3,4589.7,2324,4.2,2201.2,8.8,4538.1,3902,47,474.2,4434.1,8972.2
7,1,2021,2318.6,3.9,2049.5,10.8,4382.9,2284.6,3.8,2039.4,9.2,4337,3750.4,48,458.6,4267.3,8604.3
6,1,2021,2400.7,4.1,2254.2,11.4,4670.3,2360,4,2243.9,9.9,4617.9,3923.6,50.3,487.5,4472.1,9090
5,1,2021,2213.9,3.6,2070,11,4298.6,2173.2,3.5,2059.9,9.6,4246.3,3611.6,44.9,451,4117.3,8363.6
4,1,2021,2348.6,4.3,2343.9,13.6,4710.4,2307.3,4.1,2332.9,12,4656.3,3696.7,44.8,460.6,4211.9,8868.2
3,1,2021,2481.7,4.9,2548.6,14,5049.2,2438.8,4.7,2536.4,12.7,4992.7,4009.5,46.3,521.9,4588.1,9580.8
2,1,2021,2107.6,4.7,2265.5,10.8,4388.6,2070.7,4.6,2255.2,9.7,4340.2,3270.8,39.8,420.6,3740.4,8080.6
1,1,2021,2310.4,4.6,2477.6,10.5,4803.1,2271.8,4.5,2466.2,9.4,4751.9,3613,40.8,447.1,4110.9,8862.8
12,1,2020,2327.4,5.6,2510.4,12,4855.5,2291.8,5.5,2499.3,10.7,4807.3,3720.2,42.5,470.3,4243.4,9050.7
11,1,2020,2267.3,4.9,2406.2,10.7,4689.1,2232.3,4.7,2395.1,9.3,4641.5,3478.1,40,458.1,3985,8626.5
10,1,2020,2474.2,5.3,2598.6,10.6,5088.8,2431.9,5.2,2585.8,9.2,5032.1,3848.9,49,522.8,4429.9,9462
9,1,2020,2356.5,4.9,2336,10.9,4708.2,2315.3,4.7,2322.5,9.4,4652,3878.4,48.5,473.8,4409.4,9061.4
8,1,2020,2335.6,5,2341,10.9,4692.5,2298,4.8,2326.8,9.5,4639,3733.9,48.1,474.9,4265.9,8904.9
7,1,2020,2423.2,5.8,2371.4,12.2,4812.6,2384.5,5.6,2358.3,10.6,4759,3745.8,49.7,505.1,4308.1,9067.1
6,1,2020,2375.7,5.6,2400.9,12.5,4794.6,2334.7,5.4,2386.1,11.3,4737.4,3780,46.5,500.7,4334.7,9072.1
5,1,2020,1865.6,5.2,1880.9,12.6,3764.3,1827.6,5,1865.4,11.3,3709.3,3560.1,43.7,427.5,4039.7,7749
4,1,2020,1817.3,4.8,2031.6,11.1,3864.9,1782,4.6,2019.4,9.9,3815.9,3600.3,46.1,441.3,4098.9,7914.8
3,1,2020,2411.2,5.8,2566.5,12.3,4995.7,2379.2,5.6,2555.2,11.3,4951.3,3862.1,47.1,507,4428.8,9380.1
