Year,Month,Date,CO2_ppm,seasonally_adjusted[ppm],fit[ppm], Sta
1958,1,21200,-99.99,-99.99,-99.99, MLO
1958,2,21231,-99.99,-99.99,-99.99, MLO
1958,3,21259,315.71,314.44,316.2, MLO
1958,4,21290,317.45,315.16,317.3, MLO
1958,5,21320,317.51,314.69,317.89, MLO
1958,6,21351,-99.99,-99.99,317.27, MLO
1958,7,21381,315.87,315.2,315.86, MLO
1958,8,21412,314.93,316.21,313.97, MLO
1958,9,21443,313.21,316.11,312.44, MLO
1958,10,21473,-99.99,-99.99,312.42, MLO
1958,11,21504,313.33,315.21,313.61, MLO
1958,12,21534,314.67,315.43,314.77, MLO
1959,1,21565,315.58,315.52,315.64, MLO
1959,2,21596,316.49,315.84,316.29, MLO
1959,3,21624,316.65,315.37,316.99, MLO
1959,4,21655,317.72,315.42,318.09, MLO
1959,5,21685,318.29,315.46,318.68, MLO
1959,6,21716,318.15,316,318.07, MLO
1959,7,21746,316.54,315.87,316.67, MLO
1959,8,21777,314.8,316.09,314.8, MLO
1959,9,21808,313.84,316.75,313.3, MLO
1959,10,21838,313.33,316.34,313.31, MLO
1959,11,21869,314.81,316.69,314.53, MLO
1959,12,21899,315.58,316.35,315.72, MLO
1960,1,21930,316.43,316.38,316.62, MLO
1960,2,21961,316.98,316.33,317.3, MLO
1960,3,21990,317.58,316.27,318.03, MLO
1960,4,22021,319.03,316.7,319.14, MLO
1960,5,22051,320.03,317.19,319.7, MLO
1960,6,22082,319.58,317.45,319.04, MLO
1960,7,22112,318.18,317.54,317.59, MLO
1960,8,22143,315.9,317.22,315.66, MLO
1960,9,22174,314.17,317.1,314.1, MLO
1960,10,22204,313.83,316.85,314.08, MLO
1960,11,22235,315,316.89,315.25, MLO
1960,12,22265,316.19,316.96,316.4, MLO
1961,1,22296,316.89,316.84,317.27, MLO
1961,2,22327,317.7,317.05,317.93, MLO
1961,3,22355,318.54,317.25,318.64, MLO
1961,4,22386,319.48,317.16,319.75, MLO
1961,5,22416,320.58,317.73,320.35, MLO
1961,6,22447,319.77,317.61,319.74, MLO
1961,7,22477,318.56,317.89,318.32, MLO
1961,8,22508,316.79,318.09,316.44, MLO
1961,9,22539,314.99,317.92,314.9, MLO
1961,10,22569,315.31,318.34,314.91, MLO
1961,11,22600,316.1,318,316.12, MLO
1961,12,22630,317.01,317.78,317.3, MLO
1962,1,22661,317.94,317.89,318.19, MLO
1962,2,22692,318.55,317.89,318.86, MLO
1962,3,22720,319.68,318.39,319.56, MLO
1962,4,22751,320.57,318.24,320.67, MLO
1962,5,22781,321.02,318.16,321.25, MLO
1962,6,22812,320.62,318.45,320.6, MLO
1962,7,22842,319.61,318.94,319.15, MLO
1962,8,22873,317.4,318.71,317.22, MLO
1962,9,22904,316.24,319.18,315.65, MLO
1962,10,22934,315.42,318.46,315.62, MLO
1962,11,22965,316.69,318.59,316.8, MLO
1962,12,22995,317.7,318.47,317.96, MLO
1963,1,23026,318.74,318.69,318.83, MLO
1963,2,23057,319.07,318.41,319.48, MLO
1963,3,23085,319.86,318.57,320.17, MLO
1963,4,23116,321.38,319.05,321.26, MLO
1963,5,23146,322.24,319.38,321.83, MLO
1963,6,23177,321.49,319.31,321.17, MLO
1963,7,23207,319.74,319.07,319.71, MLO
1963,8,23238,317.77,319.07,317.77, MLO
1963,9,23269,316.21,319.16,316.18, MLO
1963,10,23299,315.99,319.03,316.15, MLO
1963,11,23330,317.07,318.98,317.35, MLO
