"Date","beef_commercial","veal_commercial","pork_commercial","lamb_commercial","total_red_commercial","beef_federal","veal_federal","pork_federal","lamb_federal","total_red_federal","broilers_federal","chicken_federal","turkey_federal","total_poultry_federal","total_meat_federal"
"Jan-Feb 2024","4449.3","7.5","4843.9","21.5","9322.2","4381.1","7.2","4823.8","19.4","9231.5","7785.7","91.8","859.1","8760.9","17992.4"
"Jan-Feb 2023","4416.8","8.2","4582.4","20.3","9027.6","4346.8","8.0","4563.8","18.5","8937.1","7556.9","90.3","864.4","8535.3","17472.4"
"Feb-2024","2168.5","3.6","2371.2","10.9","4554.2","2135.0","3.4","2361.4","9.8","4509.6","3734.3","44.4","423.9","4213.3","8722.9"
"Jan-2024","2280.8","3.9","2472.7","10.6","4768.0","2246.1","3.8","2462.4","9.6","4721.9","4051.4","47.4","435.2","4547.6","9269.5"
"Dec-2023","2189.9","3.9","2342.0","10.7","4546.4","2159.0","3.7","2332.4","9.5","4504.7","3616.2","41.5","393.0","4063.1","8567.8"
"Nov-2023","2280.9","4.3","2388.2","11.2","4684.5","2247.3","4.1","2377.4","10.1","4638.9","3817.3","44.5","449.2","4324.0","8962.9"
"Oct-2023","2340.9","4.2","2418.5","11.3","4774.8","2300.8","4.0","2406.2","9.8","4720.8","4177.3","51.0","500.5","4742.1","9462.9"
"Sep-2023","2149.4","3.6","2186.2","10.2","4349.4","2114.6","3.5","2175.5","8.6","4302.2","3806.5","49.3","431.3","4299.6","8601.8"
"Aug-2023","2363.5","4.2","2295.0","10.5","4673.3","2329.5","4.1","2282.4","8.9","4624.9","4156.8","58.6","490.0","4717.8","9342.7"
"Jul-2023","2107.9","3.8","2006.8","9.5","4128.1","2077.2","3.6","1996.8","8.1","4085.8","3717.6","50.9","434.0","4214.5","8300.3"
"Jun-2023","2335.0","3.9","2201.6","10.9","4551.4","2300.7","3.8","2191.9","9.5","4505.9","3956.6","52.9","493.7","4516.2","9022.1"
"May-2023","2305.8","4.2","2271.3","11.4","4592.7","2269.3","4.1","2261.4","9.9","4544.6","4043.4","52.7","487.9","4596.6","9141.2"
"Apr-2023","2069.4","3.6","2119.4","11.0","4203.4","2034.8","3.5","2110.3","9.7","4158.2","3546.1","44.0","428.7","4030.2","8188.4"
"Mar-2023","2404.8","4.2","2488.2","12.7","4909.8","2367.3","4.1","2478.3","11.7","4861.3","3992.2","51.9","484.2","4540.3","9401.6"
"Feb-2023","2092.2","3.8","2157.0","10.1","4263.1","2059.4","3.7","2148.3","9.3","4220.7","3585.0","43.8","419.2","4059.2","8279.9"
"Jan-2023","2324.6","4.4","2425.4","10.2","4764.5","2287.4","4.3","2415.5","9.2","4716.4","3971.9","46.5","445.2","4476.1","9192.5"
"Dec-2022","2225.6","4.5","2230.1","11.0","4471.1","2193.7","4.4","2220.4","9.8","4428.4","3852.9","47.4","414.2","4327.1","8755.5"
